# (1)t	(2)P_1	(3)P_2	(4)trace	(5)purity	(6)vonNeumann_entropy	(7)P_1 std	(8)P_2 std	(9)trace std	(10)purity std	(11)vonNeumann_entropy std
0.0	1.016495532	0.001653469354	1.018149002	1.034698524	-0.01475673646	0.01883185807	0.01303977625	0.0273524442	0.03820663105	0.04846846475
0.1	1.005643423	0.01250557895	1.018149002	1.033910733	-0.0129885879	0.01928334048	0.01444319101	0.0273524442	0.03836147728	0.04925433664
0.2	0.9761382047	0.04201079677	1.018149002	1.027526443	0.002193189862	0.01966697106	0.01588258737	0.0273524442	0.03921881031	0.05071256004
0.3	0.930978393	0.08717060847	1.018149002	1.008450486	0.04877396593	0.01954091412	0.01706949911	0.0273524442	0.04064074664	0.04817729326
0.4	0.8740794858	0.1440695157	1.018149002	0.9728589299	0.1227691015	0.01874756274	0.01778920638	0.0273524442	0.04140863305	0.03971528075
0.5	0.809691843	0.2084571585	1.018149002	0.920829768	0.2099083996	0.01756821597	0.0181303085	0.0273524442	0.03980929668	0.03292723953
0.6	0.7421013115	0.27604769	1.018149002	0.8561431766	0.3038255959	0.016369975	0.01829479537	0.0273524442	0.03703991871	0.02546429798
0.7	0.6752477504	0.3429012511	1.018149002	0.7861182246	0.3947959598	0.01521105878	0.01838030195	0.0273524442	0.03445849962	0.01968756474
0.8	0.612419158	0.4057298435	1.018149002	0.7185842432	0.4753220593	0.01420288616	0.01824246675	0.0273524442	0.03037902519	0.01414311219
0.9	0.5560517717	0.4620972299	1.018149002	0.6604178164	0.5404143086	0.0137692052	0.0177274623	0.0273524442	0.02621976008	0.009664709708
1.0	0.5076247149	0.5105242867	1.018149002	0.6158999161	0.5880736508	0.01419002819	0.01693171827	0.0273524442	0.0251849418	0.01058933887
1.1	0.4677703228	0.5503786787	1.018149002	0.5852260401	0.6199840408	0.01551232198	0.01625438431	0.0273524442	0.02577282169	0.01228840178
1.2	0.4366762297	0.5814727718	1.018149002	0.5654195487	0.6402408513	0.01764578457	0.01622850942	0.0273524442	0.02647947077	0.01261957089
1.3	0.4143322579	0.6038167436	1.018149002	0.5538489776	0.6519773405	0.02012632367	0.01718512165	0.0273524442	0.02731837177	0.01222258952
1.4	0.4002788158	0.6178701857	1.018149002	0.5486255637	0.6572623131	0.02225976536	0.01891170479	0.0273524442	0.02782646258	0.01157274939
1.5	0.3935372105	0.624611791	1.018149002	0.5471440344	0.6587596206	0.02370511563	0.02073793275	0.0273524442	0.0278060711	0.01100617167
1.6	0.3930215271	0.6251274744	1.018149002	0.5470653129	0.658842161	0.02455644099	0.02213599448	0.0273524442	0.02785812642	0.01093577208
1.7	0.3977996732	0.6203493283	1.018149002	0.5471793495	0.6587303612	0.02492115612	0.02296846056	0.0273524442	0.02807798617	0.01122551484
1.8	0.4069913997	0.6111576018	1.018149002	0.5468898894	0.6590181554	0.02483437145	0.02335218863	0.0273524442	0.02808094486	0.0113162996
1.9	0.4196183825	0.598530619	1.018149002	0.5457309045	0.6601765396	0.02439055547	0.02349915477	0.0273524442	0.02791341402	0.01109392237
2.0	0.4345211773	0.5836278242	1.018149002	0.5433602463	0.6625532979	0.02378821837	0.02357391938	0.0273524442	0.02792966528	0.01086501581
2.1	0.4504305443	0.5677184572	1.018149002	0.5397729413	0.6661511086	0.02333962658	0.0236295717	0.0273524442	0.02829997014	0.01080021884
2.2	0.4662173499	0.5519316516	1.018149002	0.5355907917	0.6703354068	0.02328165198	0.02358355267	0.0273524442	0.02877912871	0.0107950535
2.3	0.4810898236	0.5370591779	1.018149002	0.5316621256	0.6742469571	0.02348610915	0.02334148648	0.0273524442	0.0288764352	0.01049911915
2.4	0.4945579612	0.5235910403	1.018149002	0.5282910207	0.6775874702	0.0235540366	0.02286527826	0.0273524442	0.02868288164	0.01004116656
2.5	0.5063179735	0.511831028	1.018149002	0.5256892759	0.6801573193	0.0232204477	0.02215216901	0.0273524442	0.02848753779	0.009729775344
2.6	0.5162384986	0.501910503	1.018149002	0.5239666768	0.6818563482	0.02256167806	0.02135326653	0.0273524442	0.02839334159	0.009586592659
2.7	0.5243762593	0.4937727422	1.018149002	0.5230143283	0.6827955469	0.02198685118	0.02086633843	0.0273524442	0.02838707059	0.009563997674
2.8	0.5309011558	0.4872478457	1.018149002	0.5224805191	0.6833193107	0.0219632614	0.02107191642	0.0273524442	0.02826184315	0.00942445122
2.9	0.535816986	0.4823320155	1.018149002	0.5220531402	0.6837345452	0.02255970984	0.021957754	0.0273524442	0.0279799712	0.009133236541
3.0	0.53891587	0.4792331315	1.018149002	0.5217658058	0.6840129838	0.02327976036	0.02315732567	0.0273524442	0.02777917138	0.008943854504
3.1	0.5401433689	0.4780056326	1.018149002	0.5216791642	0.6840975208	0.02351481623	0.02423629637	0.0273524442	0.02775994624	0.008943390544
3.2	0.5397359486	0.4784130529	1.018149002	0.5216727391	0.6841038136	0.02293278888	0.02479076111	0.0273524442	0.02775589054	0.00893549385
3.3	0.5379662025	0.480182799	1.018149002	0.5217685249	0.6840065781	0.02154030492	0.02455876846	0.0273524442	0.02760016985	0.008743004333
3.4	0.5350820773	0.4830669242	1.018149002	0.5218603929	0.6839089305	0.01980346062	0.02352862893	0.0273524442	0.02726285115	0.008363628148
3.5	0.5313569554	0.4867920461	1.018149002	0.5216933104	0.6840676348	0.01840368916	0.02184789854	0.0273524442	0.02699638099	0.008074027731
3.6	0.5272545646	0.4908944369	1.018149002	0.5211987113	0.6845579885	0.01770767146	0.01983660062	0.0273524442	0.02713289406	0.008221944289
3.7	0.5232789057	0.4948700958	1.018149002	0.5207235242	0.6850339243	0.01763645621	0.01785445904	0.0273524442	0.02747068574	0.008567328924
3.8	0.5195641647	0.4985848368	1.018149002	0.520380281	0.6853758437	0.01798048873	0.01621970507	0.0273524442	0.02763041392	0.008713963575
3.9	0.5159929338	0.5021560677	1.018149002	0.520079554	0.6856704627	0.01869653164	0.01507441017	0.0273524442	0.02755523338	0.008613405713
4.0	0.512521141	0.5056278606	1.018149002	0.5199038074	0.6858422254	0.01977821724	0.01421676	0.0273524442	0.02748812261	0.008522189482
4.1	0.5091577562	0.5089912453	1.018149002	0.5198708108	0.6858734345	0.02095570611	0.0132445164	0.0273524442	0.02742798187	0.008453099319
4.2	0.5059741692	0.5121748323	1.018149002	0.519964641	0.6857788758	0.02193786986	0.01207171899	0.0273524442	0.02734336867	0.008382703888
4.3	0.5031390744	0.5150099271	1.018149002	0.520029218	0.6857155897	0.02272538736	0.01125234481	0.0273524442	0.02735794824	0.008405201232
