# (1)t	(2)P_1	(3)P_2	(4)trace	(5)purity	(6)vonNeumann_entropy	(7)P_1 std	(8)P_2 std	(9)trace std	(10)purity std	(11)vonNeumann_entropy std
0.0	-1.841542199e-19	-5.210252124e-21	-1.89364472e-19	-3.540847661e-19	0.003984532482	5.852268234e-19	3.3286446110000003e-19	7.085276122000001e-19	1.166117622e-18	0.007957563379
0.1	-2.484706565e-19	1.337822472e-20	-2.350924317e-19	-4.595625689e-19	0.002009823096	5.126316275e-19	5.437628269e-19	8.39260559e-19	1.584730316e-18	0.008642772642
0.2	-7.807054182000001e-20	1.390824584e-19	6.101191660000001e-20	-1.489689057e-18	0.001961005444	6.75865486e-19	3.87144556e-19	6.502451494000001e-19	2.554850343e-18	0.0057067463
0.3	-1.598452138e-19	3.921624818e-19	2.32317268e-19	9.086274575e-19	-1.232808776e-18	7.774189109e-19	6.5357830060000005e-19	8.400476038e-19	5.153466018e-18	9.64202688e-18
0.4	3.704317732e-19	2.1717842820000003e-19	5.876102014e-19	6.966151314000001e-19	4.527457464e-18	8.010382389e-19	5.813496436000001e-19	9.661448577e-19	6.707624945e-18	1.404230296e-17
0.5	2.217948806e-19	-1.125205089e-19	1.092743716e-19	-4.198538045e-18	-3.653295882e-18	8.392042853000001e-19	8.640294146000001e-19	1.364882736e-18	1.336300637e-17	1.907050457e-17
0.6	2.435524528e-19	1.15639081e-19	3.5919153380000003e-19	-9.749173674000001e-19	1.456673864e-17	7.489108268e-19	6.780011002e-19	1.047748546e-18	1.521655518e-17	2.837512921e-17
0.7	9.027774561000001e-20	1.496096931e-20	1.052387149e-19	-1.947686976e-18	1.1789248659999999e-17	7.119040022e-19	4.717857313e-19	7.211959752e-19	1.343678095e-17	3.753219075e-17
0.8	9.085467669000001e-20	1.0879342000000001e-20	1.017340187e-19	-5.679034155e-19	-1.864723827e-17	6.041183299000001e-19	5.885893764000001e-19	1.038195708e-18	1.214373132e-17	4.182059868e-17
0.9	2.244357874e-19	3.617906417e-21	2.280536938e-19	-1.11551768e-18	-1.729344954e-17	4.913890447e-19	5.6436064590000005e-19	8.215724747000001e-19	9.163093133e-18	3.407546887e-17
1.0	2.597002677e-19	-2.858322633e-20	2.311170414e-19	2.695427602e-18	-6.85460995e-18	7.046813632e-19	4.1947803090000003e-19	8.929830146e-19	1.135101127e-17	5.425383619e-17
1.1	2.238156344e-19	2.508909827e-19	4.74706617e-19	-5.643746022e-19	2.2609457259999998e-18	7.640947318000001e-19	5.747441301e-19	1.295387908e-18	6.2681192059999996e-18	1.828614544e-17
1.2	1.435986179e-19	6.419073384e-20	2.077893517e-19	-1.702585406e-18	-1.3486276239999999e-17	6.276332880000001e-19	5.053574069e-19	7.279694991e-19	5.541029795e-18	1.6754588449999998e-17
1.3	1.198456308e-19	1.202861875e-19	2.401318183e-19	1.36218722e-18	3.110823787e-18	6.805715418000001e-19	5.854892543e-19	9.463246288e-19	2.813214697e-18	1.1527664459999999e-17
1.4	1.823620092e-19	2.019759211e-19	3.843379303e-19	9.812748018000001e-20	-9.604438517e-19	5.967430308e-19	4.843402037e-19	7.710073541e-19	2.314707542e-18	2.694151324e-18
1.5	3.1007663330000004e-20	-8.925636575000001e-20	-5.824870242000001e-20	7.345364575e-19	1.3789511810000001e-19	4.675501724e-19	9.211500451e-19	1.017292416e-18	2.76052738e-18	2.312240933e-18
1.6	2.0502725770000001e-19	-1.2535088970000001e-19	7.967636806e-20	-9.301925046e-19	1.785425116e-18	6.880230875e-19	4.881635895000001e-19	9.062421947e-19	2.7734456e-18	3.965579381e-18
