# (1)t	(2)P_1	(3)P_2	(4)trace	(5)purity	(6)vonNeumann_entropy	(7)P_1 std	(8)P_2 std	(9)trace std	(10)purity std	(11)vonNeumann_entropy std
0.0	1.003582537	-0.001750907106	1.001831629	1.00756828	-0.01373777888	0.01212995315	0.007041341466	0.006522205358	0.02440875188	0.0437887305
0.25	0.944931473	0.05690015646	1.001831629	0.9943366227	0.02444193643	0.01228560491	0.007587255383	0.006522205358	0.0241285476	0.04228687034
0.5	0.8003419899	0.2014896396	1.001831629	0.8983891781	0.2128726937	0.01168107563	0.008639688557	0.006522205358	0.02262957314	0.02421325693
0.75	0.6377060894	0.3641255401	1.001831629	0.7501920263	0.4185766151	0.01166830566	0.01050299042	0.006522205358	0.01283764286	0.01084544109
1.0	0.5109325188	0.4908991107	1.001831629	0.6620255343	0.5227871684	0.01099742797	0.01087347833	0.006522205358	0.0122657971	0.01229023835
1.25	0.4396796446	0.5621519849	1.001831629	0.6553532262	0.530357424	0.01006100065	0.01118983066	0.006522205358	0.0105509212	0.008509779661
1.5	0.419278702	0.5825529275	1.001831629	0.6834179051	0.4983990819	0.01135497787	0.01368933911	0.006522205358	0.01243697503	0.01018750861
1.75	0.4320063121	0.5698253174	1.001831629	0.7162006528	0.4599021092	0.01341399671	0.01627304506	0.006522205358	0.01477566568	0.01363028597
2.0	0.4596775969	0.5421540326	1.001831629	0.7368011279	0.4350411311	0.01421954929	0.01728466897	0.006522205358	0.01704393391	0.01548247312
2.25	0.487671613	0.5141600165	1.001831629	0.7478603898	0.4214074795	0.0145368574	0.01798779429	0.006522205358	0.02060220358	0.01993449641
2.5	0.5069817201	0.4948499094	1.001831629	0.7576824487	0.4091946905	0.0144320461	0.01834407061	0.006522205358	0.01621261658	0.01586756991
2.75	0.515321477	0.4865101525	1.001831629	0.7612288045	0.4047206461	0.01411712382	0.01772482359	0.006522205358	0.01860093903	0.01874062138
3.0	0.5153674212	0.4864642083	1.001831629	0.7580702626	0.4087156996	0.01319927773	0.0157286018	0.006522205358	0.01691781117	0.01633360842
3.25	0.5121874311	0.4896441984	1.001831629	0.7573465991	0.4096310598	0.01143075994	0.01241621062	0.006522205358	0.01980336893	0.01861919514
3.5	0.5081868414	0.4936447881	1.001831629	0.7618268342	0.4040109189	0.009793124609	0.008966651753	0.006522205358	0.01902936929	0.01784667388
3.75	0.5052354844	0.4965961451	1.001831629	0.7708416856	0.3926315875	0.008384147303	0.006754793854	0.006522205358	0.01754175903	0.01568756051
4.0	0.5039397903	0.4978918392	1.001831629	0.7688588231	0.3951080057	0.007595636678	0.006974654273	0.006522205358	0.01762194235	0.01714920307
4.25	0.5025623698	0.4992692597	1.001831629	0.7672528091	0.3972005075	0.007045531327	0.007828483849	0.006522205358	0.01411296935	0.01182977609
4.5	0.5018555824	0.4999760471	1.001831629	0.7683747063	0.3957788246	0.008152086711	0.009667664476	0.006522205358	0.01354161171	0.01122875225
