# (1)t	(2)P_1	(3)P_2	(4)trace	(5)purity	(6)vonNeumann_entropy
0.0	0.0	0.0	0.0	0.0	NaN
0.25	0.0	-3.195788212e-18	-3.195788212e-18	8.282397174e-18	-3.0755843539999997e-17
0.5	2.076086311e-17	0.0	2.076086311e-17	-5.705457139e-17	1.118372679e-16
0.75	4.645756974e-17	2.3592239269999996e-16	2.8237996249999997e-16	4.934313469e-17	2.3103709129999996e-16
1.0	5.179735119e-16	9.020562074999999e-17	6.081791326999999e-16	3.005618207e-16	3.9997158979999998e-16
1.25	5.329908895e-16	-4.857225733e-17	4.844186322e-16	8.783403737999999e-16	-5.340879614999999e-16
1.5	-5.034498129999999e-16	9.228728892e-16	4.194230762e-16	9.509192593e-16	-6.459060326999999e-16
1.75	6.069692508e-17	-1.1102230249999998e-16	-5.032537739e-17	2.1634663939999998e-16	-3.0826848549999996e-16
2.0	-5.752788148999999e-16	1.249000903e-15	6.737220877999999e-16	9.945564729e-16	-3.844360917e-16
2.25	2.5653514379999998e-17	7.424616476999999e-16	7.681151620999999e-16	1.315463994e-15	-6.311681369e-16
2.5	1.462315619e-17	0.0	1.462315619e-17	-4.351646653e-17	8.380113104e-17
2.75	-4.302014561e-16	1.6653345369999998e-16	-2.6366800249999997e-16	-3.76283354e-16	1.2030859369999998e-16
3.0	-9.738222154999999e-16	9.506284648e-16	-2.319375071e-17	-4.2835727329999994e-16	5.143917202999999e-16
3.25	-1.804804036e-15	9.089951014e-16	-8.958089344e-16	-1.702732531e-15	9.474516014999998e-16
3.5	-1.649884603e-15	4.579669977e-16	-1.191917605e-15	-1.299363013e-15	1.7861092619999998e-17
3.75	-3.112077687e-15	1.58206781e-15	-1.530009876e-15	-1.8217593e-15	2.1918917319999998e-16
4.0	-1.647559374e-15	1.4085954620000001e-15	-2.3896391149999996e-16	-3.0386196219999996e-16	5.898368996e-17
4.25	-4.942289371e-15	3.844147223e-15	-1.098142149e-15	-2.381097803e-15	1.548297889e-15
4.5	1.3398020760000001e-14	-1.4405143740000002e-14	-1.007122983e-15	-2.471942974e-15	1.794030674e-15
4.75	-4.096198446e-14	4.148070776e-14	5.187232992e-16	1.83955417e-14	-2.3127500270000002e-14
5.0	2.610469532e-14	-2.6381674620000002e-14	-2.769793041e-16	7.478318608000001e-15	-1.0086238030000002e-14
5.25	-2.61861614e-13	2.61866917e-13	5.303054183e-18	6.357713716e-15	-8.238588745e-15
5.5	1.721585921e-13	-1.676644934e-13	4.494098659e-15	7.219916769e-14	-8.733780573000001e-14
5.75	-1.972719935e-12	1.982289333e-12	9.569397196e-15	5.409741616e-14	-5.674021494e-14
6.0	1.435651231e-12	-1.419857287e-12	1.579394327e-14	2.92951831e-13	-3.578138642e-13
6.25	-1.256454111e-11	1.262497745e-11	6.043634625e-14	3.369127184e-13	-3.521960822e-13
6.5	8.359812104e-12	-8.577874522e-12	-2.18062418e-13	-2.413098975e-12	2.823952958e-12
6.75	-6.102668049e-11	6.083456655e-11	-1.92113944e-13	-6.49984138e-12	8.161174573e-12
7.0	5.956607147e-11	-6.214494891e-11	-2.578877439e-12	-3.219637915e-11	3.814230769e-11
7.25	-3.279097855e-10	3.26895476e-10	-1.014309517e-12	-2.475957325e-11	3.069201607e-11
7.5	3.148285573e-10	-3.203081619e-10	-5.479604681e-12	-7.734011505e-11	9.262771794e-11
7.75	-1.901245817e-9	1.899171861e-9	-2.073955947e-12	-3.659231616e-11	4.455379488e-11
8.0	1.322491471e-9	-1.308964021e-9	1.352745021e-11	1.397797542e-10	-1.623266335e-10
8.25	-1.04098376e-8	1.042608831e-8	1.625070211e-11	1.27875769e-10	-1.430668826e-10
8.5	5.830207248e-9	-5.712168918e-9	1.180383301e-10	1.281853722e-9	-1.497078713e-9
8.75	-4.914872068e-8	4.923012275e-8	8.140207239e-11	1.415700733e-9	-1.722125394e-9
9.0	1.081253472e-8	-9.579549862e-9	1.232984854e-9	9.117017098e-9	-1.009582337e-8
9.25	-9.454719141e-8	9.528791658e-8	7.407251719e-10	1.160973817e-8	-1.402014239e-8
9.5	7.39577889e-8	-6.251124632e-8	1.144654259e-8	5.050046001e-8	-4.94446594e-8
9.75	-3.424217554e-7	3.345961826e-7	-7.825572778e-9	3.134644766e-7	-4.175954283e-7
10.0	-1.438348914e-7	1.523113535e-7	8.476462154e-9	2.929822855e-7	-3.68154181e-7
10.25	-4.648940737e-8	1.340420001e-7	8.755259271e-8	-2.351637705e-7	4.279063999e-7
10.5	4.851281184e-7	-3.066556535e-7	1.784724649e-7	-8.152135018e-7	1.307912969e-6
10.75	4.052246141e-7	-1.510482828e-7	2.541763314e-7	-1.161112866e-6	1.86283637e-6
11.0	6.055727063e-7	-2.90434082e-7	3.151386242e-7	-1.385884917e-6	2.239955427e-6
11.25	2.961439234e-7	7.777907823e-8	3.739230016e-7	-1.147835341e-6	2.013652835e-6
11.5	4.270974051e-7	-2.76622894e-9	4.243311762e-7	-1.200075078e-6	2.152159773e-6
