# (1)t	(2)P_1	(3)P_2	(4)trace	(5)purity	(6)vonNeumann_entropy
0.0	1.0	0.0	1.0	1.0	NaN
0.25	0.9387912809	0.06120871905	1.0	0.9755175167	0.06673709129
0.5	0.7984024842	0.2015975158	1.0	0.8920363107	0.2193625352
0.75	0.63887957	0.36112043	1.0	0.7620049779	0.4014212607
1.0	0.5135258021	0.4864741979	1.0	0.6806685354	0.4996298481
1.25	0.4449369717	0.5550630283	1.0	0.6760498129	0.5049570747
1.5	0.429224175	0.5707760367	1.000000212	0.709626074	0.4656619721
1.75	0.448105469	0.5518947819	1.000000251	0.7409986102	0.4276554061
2.0	0.4805305994	0.519468976	0.9999995754	0.7578320661	0.4066859001
2.25	0.5102527196	0.4897451872	0.9999979068	0.7656127154	0.3968439969
2.5	0.5287549232	0.4712403706	0.9999952938	0.7707916254	0.3902367318
2.75	0.5342635489	0.4657278455	0.9999913944	0.7751612298	0.3846248577
3.0	0.5295437459	0.470446253	0.9999899989	0.7781618175	0.3807541285
3.25	0.5195433691	0.4804446638	0.9999880328	0.7795421944	0.3789663798
3.5	0.50902417	0.4909613679	0.9999855379	0.779942959	0.3784440274
3.75	0.5011364922	0.4988462832	0.9999827753	0.7801092275	0.3782248129
4.0	0.4970565357	0.502923455	0.9999799906	0.7803485547	0.3779108525
4.25	0.4963749015	0.5036005972	0.9999754987	0.7806087962	0.3775672843
4.5	0.4978276692	0.5021438783	0.9999715474	0.7808003089	0.3773134641
4.75	0.5000095759	0.4999578959	0.9999674718	0.7809005456	0.3771777722
5.0	0.5018540236	0.4981070837	0.9999611073	0.7809406185	0.3771168767
5.25	0.5028339949	0.4971231772	0.9999571721	0.7809744032	0.3770675399
5.5	0.5029051274	0.4970457683	0.9999508957	0.7809868889	0.3770425402
5.75	0.5023351648	0.4976118146	0.9999469794	0.7809983624	0.3770221639
6.0	0.5014933753	0.4984473307	0.999940706	0.780989231	0.3770252052
6.25	0.5007047521	0.4992318865	0.9999366386	0.7809836768	0.3770267022
6.5	0.5001587236	0.4997712928	0.9999300165	0.7809642065	0.3770426647
6.75	0.499894199	0.5000317861	0.9999259851	0.7809628809	0.3770387274
7.0	0.4998602721	0.5000589162	0.9999191882	0.7809451065	0.3770522452
7.25	0.4999600599	0.4999552407	0.9999153005	0.7809474023	0.3770438124
7.5	0.5000923928	0.4998161335	0.9999085264	0.7809295838	0.3770574194
7.75	0.5001927474	0.4997118397	0.9999045871	0.7809320697	0.3770486675
8.0	0.5002273494	0.4996703994	0.9998977487	0.7809132126	0.3770635316
8.25	0.5002049916	0.4996887674	0.999893759	0.7809156286	0.3770547996
8.5	0.500144849	0.4997420075	0.9998868566	0.7808966683	0.3770697079
8.75	0.5000729561	0.4998099869	0.999882943	0.7808993643	0.3770607195
9.0	0.5000148963	0.4998613828	0.9998762791	0.7808811786	0.377074958
9.25	0.4999758571	0.4998969881	0.9998728452	0.7808856781	0.3770643031
9.5	0.4999579157	0.4999107624	0.9998686781	0.780876467	0.3770704039
9.75	0.4999528345	0.4999122817	0.9998651163	0.7808764157	0.3770654723
10.0	0.499955401	0.4999059024	0.9998613034	0.7808739417	0.3770633313
10.25	0.4999568187	0.4999003331	0.9998571518	0.7808648914	0.3770692453
10.5	0.4999570134	0.4998957636	0.9998527769	0.7808545519	0.3770765185
10.75	0.4999527317	0.4998955382	0.9998482699	0.7808453333	0.377082152
11.0	0.4999472745	0.4998966692	0.9998439437	0.7808376833	0.3770860049
11.25	0.4999393262	0.4999001205	0.9998394467	0.7808289157	0.3770910677
11.5	0.4999327177	0.4999024209	0.9998351385	0.7808220686	0.3770939044
11.75	0.499925685	0.4999049559	0.9998306409	0.7808138317	0.3770982778
12.0	0.4999212529	0.499905087	0.9998263399	0.7808074803	0.3771004815
12.25	0.4999166748	0.4999051703	0.9998218451	0.7807995427	0.3771044709
12.5	0.4999144345	0.4999031142	0.9998175487	0.7807933995	0.377106411
12.75	0.499911708	0.4999013493	0.9998130573	0.7807855885	0.3771102409
13.0	0.4999093949	0.4998993692	0.999808764	0.7807795278	0.3771120785
13.25	0.4999059247	0.4998983505	0.9998042751	0.7807717731	0.3771158389
13.5	0.4999039021	0.499896082	0.999799984	0.7807657499	0.3771176308
13.75	0.4999005902	0.4998949065	0.9997954968	0.7807580201	0.3771213614
14.0	0.4998972117	0.4998939954	0.9997912071	0.7807520128	0.3771231346
14.25	0.4998943597	0.499892361	0.9997867207	0.7807442938	0.3771268525
14.5	0.4998925819	0.4998898502	0.9997824321	0.7807382943	0.3771286172
14.75	0.4998893465	0.4998886	0.9997779466	0.7807305808	0.3771323292
15.0	0.4998874597	0.4998861989	0.9997736586	0.7807245846	0.3771340904
15.25	0.4998842935	0.4998848801	0.9997691736	0.780716874	0.3771377995
15.5	0.4998825671	0.499882319	0.9997648861	0.7807108797	0.3771395591
15.75	0.499879715	0.4998806865	0.9997604015	0.7807031707	0.3771432665
16.0	0.4998781948	0.4998779195	0.9997561143	0.7806971776	0.3771450251
16.25	0.4998753287	0.4998763013	0.99975163	0.7806894697	0.3771487315
16.5	0.4998738104	0.4998735326	0.999747343	0.7806834773	0.3771504895
16.75	0.4998709448	0.499871914	0.9997428589	0.7806757701	0.3771541954
17.0	0.4998694263	0.4998691458	0.9997385721	0.7806697782	0.377155953
17.25	0.49986656	0.4998675281	0.9997340881	0.7806620716	0.3771596584
17.5	0.4998650408	0.4998647606	0.9997298014	0.78065608	0.3771614157
17.75	0.4998621741	0.4998631434	0.9997253176	0.7806483738	0.3771651208
18.0	0.4998606549	0.4998603761	0.999721031	0.7806423826	0.3771668779
18.25	0.4998577883	0.499858759	0.9997165473	0.7806346767	0.3771705828
18.5	0.4998562693	0.4998559914	0.9997122608	0.7806286856	0.3771723398
18.75	0.4998534031	0.499854374	0.9997077771	0.78062098	0.3771760445
19.0	0.4998518843	0.4998516064	0.9997034907	0.7806149891	0.3771778014
19.25	0.4998490182	0.4998499889	0.9996990071	0.7806072837	0.3771815059
19.5	0.4998474994	0.4998472213	0.9996947207	0.780601293	0.3771832627
19.75	0.4998446333	0.4998456039	0.9996902371	0.7805935878	0.3771869671
20.0	0.4998431145	0.4998428363	0.9996859508	0.7805875973	0.3771887238
20.25	0.4998402484	0.499841219	0.9996814673	0.7805798922	0.3771924281
20.5	0.4998387296	0.4998384514	0.999677181	0.7805739018	0.3771941847
20.75	0.4998358634	0.4998368341	0.9996726976	0.7805661969	0.3771978889
21.0	0.4998343447	0.4998340666	0.9996684114	0.7805602066	0.3771996455
21.25	0.4998314786	0.4998324493	0.999663928	0.7805525019	0.3772033496
21.5	0.4998299599	0.4998296819	0.9996596418	0.7805465117	0.3772051061
21.75	0.4998270938	0.4998280646	0.9996551584	0.7805388072	0.3772088101
22.0	0.4998255752	0.4998252971	0.9996508722	0.7805328171	0.3772105666
22.25	0.4998227091	0.4998236798	0.9996463889	0.7805251127	0.3772142705
22.5	0.4998211905	0.4998209124	0.9996421028	0.7805191227	0.3772160269
22.75	0.4998183244	0.4998192951	0.9996376196	0.7805114184	0.3772197308
23.0	0.4998168058	0.4998165277	0.9996333335	0.7805054285	0.3772214871
23.25	0.4998139398	0.4998149105	0.9996288502	0.7804977244	0.3772251909
23.5	0.4998124211	0.4998121431	0.9996245642	0.7804917346	0.3772269472
23.75	0.4998095552	0.4998105258	0.999620081	0.7804840307	0.3772306509
24.0	0.4998080365	0.4998077585	0.999615795	0.780478041	0.3772324071
24.25	0.4998051706	0.4998061413	0.9996113119	0.7804703371	0.3772361108
24.5	0.499803652	0.4998033739	0.9996070259	0.7804643476	0.3772378669
24.75	0.4998007861	0.4998017567	0.9996025428	0.7804566439	0.3772415705
25.0	0.4997992675	0.4997989894	0.9995982569	0.7804506544	0.3772433266
