# (1)t	(2)P_1	(3)P_2	(4)trace	(5)purity	(6)vonNeumann_entropy	(7)P_1 std	(8)P_2 std	(9)trace std	(10)purity std	(11)vonNeumann_entropy std
0.0	0.9936110628	0.002086502758	0.9956975656	0.9886450138	0.01495756412	0.03360288557	0.004326585467	0.03670054225	0.06707929091	0.02533765005
0.25	0.9385188846	0.05717868101	0.9956975656	0.973721737	0.05620541283	0.03335214967	0.009864498937	0.03670054225	0.06586036897	0.02330262263
0.5	0.8074980175	0.1881995481	0.9956975656	0.8864022267	0.2202081506	0.02944372115	0.01665953984	0.03670054225	0.06693754254	0.03587851648
0.75	0.6720088173	0.3236887483	0.9956975656	0.7610039483	0.3966934773	0.02397976076	0.0218578697	0.03670054225	0.04729643051	0.02212842958
1.0	0.5819176101	0.4137799555	0.9956975656	0.6593370893	0.5190258965	0.02026588546	0.02558032294	0.03670054225	0.03156329317	0.01123255268
1.25	0.5519584656	0.4437390999	0.9956975656	0.5891514331	0.5970163131	0.0186543109	0.02861494135	0.03670054225	0.03277704818	0.01227676364
1.5	0.56667178	0.4290257856	0.9956975656	0.5574894079	0.6309685267	0.01860032224	0.02844319478	0.03670054225	0.03845963598	0.01453185144
1.75	0.5968849344	0.3988126312	0.9956975656	0.5349135476	0.6544451819	0.01894294792	0.02535377367	0.03670054225	0.03621593546	0.01187616479
2.0	0.6136867703	0.3820107953	0.9956975656	0.5263626086	0.6632895446	0.02077173463	0.02236517828	0.03670054225	0.03677360261	0.0118376316
2.25	0.6054439303	0.3902536353	0.9956975656	0.5242482248	0.6654875331	0.02500348007	0.02186806592	0.03670054225	0.03733448738	0.01197127131
2.5	0.577645692	0.4180518736	0.9956975656	0.5213837747	0.6684117371	0.02931920715	0.02022719988	0.03670054225	0.03719629322	0.01213885319
2.75	0.5415493997	0.4541481659	0.9956975656	0.5154533208	0.6744486914	0.03316966473	0.01799821748	0.03670054225	0.03674920003	0.01211735992
3.0	0.513189014	0.4825085516	0.9956975656	0.5078123163	0.6822884889	0.03434356784	0.01770493521	0.03670054225	0.03840427224	0.01312741944
3.25	0.5004556465	0.4952419191	0.9956975656	0.5052204459	0.6848967501	0.03144811905	0.01671240678	0.03670054225	0.03780861693	0.01242284842
3.5	0.5035189858	0.4921785798	0.9956975656	0.5023671068	0.6877912354	0.02824259752	0.01575048217	0.03670054225	0.03801032989	0.01250369547
3.75	0.5161900777	0.4795074878	0.9956975656	0.5006618028	0.6894938879	0.02769888957	0.01536952221	0.03670054225	0.0374379585	0.0119518047
4.0	0.529778133	0.4659194326	0.9956975656	0.5001947048	0.689965019	0.02785368891	0.0165089122	0.03670054225	0.03748664332	0.01202304097
4.25	0.5332849385	0.462412627	0.9956975656	0.5002556408	0.689926277	0.02525578343	0.01854659448	0.03670054225	0.0382401595	0.01279663387
4.5	0.5235992367	0.4720983289	0.9956975656	0.5005290366	0.6896270669	0.02226513536	0.02115628391	0.03670054225	0.03756499519	0.01217419515
4.75	0.5080558294	0.4876417362	0.9956975656	0.4989291499	0.6912062154	0.02373453424	0.02280076348	0.03670054225	0.03642493953	0.01094910545
5.0	0.4941836772	0.5015138884	0.9956975656	0.4987996466	0.691328037	0.02650775515	0.02118598069	0.03670054225	0.03614612049	0.01064921963
5.25	0.4861678714	0.5095296942	0.9956975656	0.4983218806	0.6918107911	0.02769074858	0.0188262878	0.03670054225	0.03618090926	0.01070040649
5.5	0.4853544561	0.5103431095	0.9956975656	0.4985385861	0.6915821196	0.02823228224	0.01865828399	0.03670054225	0.035930801	0.01047252277
5.75	0.4895687635	0.5061288021	0.9956975656	0.4983580929	0.6918063715	0.02928797382	0.02050116878	0.03670054225	0.03718439506	0.011690321
6.0	0.4956229247	0.5000746409	0.9956975656	0.4981543604	0.6920049613	0.02819080186	0.02340491637	0.03670054225	0.03699814196	0.01152267175
6.25	0.5004446498	0.4952529158	0.9956975656	0.4976591404	0.6925012146	0.02352028653	0.02602081696	0.03670054225	0.03693456324	0.01147319368
6.5	0.5023814161	0.4933161495	0.9956975656	0.4973483537	0.6928116429	0.01774889732	0.02714884322	0.03670054225	0.03686501631	0.0114097298
6.75	0.5023178774	0.4933796882	0.9956975656	0.4971749751	0.6929794037	0.01379735829	0.02658415339	0.03670054225	0.03661364387	0.01115523243
7.0	0.5004168294	0.4952807362	0.9956975656	0.4973428982	0.692815508	0.01347864431	0.02554404005	0.03670054225	0.0367684322	0.01130520279
7.25	0.4994671537	0.4962304118	0.9956975656	0.4970733653	0.6930900749	0.01700595389	0.02393275463	0.03670054225	0.0368700796	0.01141187964
7.5	0.499561519	0.4961360466	0.9956975656	0.4970309946	0.6931285619	0.01891407263	0.02143142723	0.03670054225	0.03674418394	0.01128780379
7.75	0.5012509759	0.4944465897	0.9956975656	0.4968519644	0.6933123339	0.01897467019	0.02100595302	0.03670054225	0.03684854896	0.01139359532
8.0	0.5045168411	0.4911807245	0.9956975656	0.4971883553	0.6929767699	0.02086400769	0.02183923951	0.03670054225	0.03695355541	0.01150762102
8.25	0.5062703138	0.4894272518	0.9956975656	0.497252164	0.6929038294	0.02193942197	0.02353686551	0.03670054225	0.03668942871	0.01124242164
8.5	0.5048601405	0.4908374251	0.9956975656	0.4973534138	0.6928085741	0.01958434863	0.02539581513	0.03670054225	0.03688327796	0.01143889455
8.75	0.5029913957	0.4927061699	0.9956975656	0.4976923742	0.6924672606	0.01824485618	0.02554186068	0.03670054225	0.03688132197	0.01143836715
9.0	0.5011727544	0.4945248111	0.9956975656	0.4978937528	0.6922636331	0.01737982348	0.0271588341	0.03670054225	0.03687521439	0.01139965563
9.25	0.4989520467	0.4967455189	0.9956975656	0.4978494434	0.6923001675	0.01611301127	0.02909171744	0.03670054225	0.03666989459	0.0112162081
9.5	0.4991212795	0.4965762861	0.9956975656	0.4972410719	0.6929249122	0.01660091494	0.02865813932	0.03670054225	0.03699774686	0.01154365618
9.75	0.5010129379	0.4946846277	0.9956975656	0.4971847082	0.6929775049	0.01840884415	0.02771195613	0.03670054225	0.03687969409	0.01142763414
10.0	0.5011351341	0.4945624315	0.9956975656	0.4972792758	0.6928875797	0.0192209684	0.02671331891	0.03670054225	0.03703379272	0.01156929461
10.25	0.5007205271	0.4949770384	0.9956975656	0.4971385231	0.6930148675	0.02100002988	0.02678773482	0.03670054225	0.03659873071	0.01115701412
10.5	0.5008506551	0.4948469105	0.9956975656	0.497270554	0.692877816	0.02085820686	0.02658835645	0.03670054225	0.03645274859	0.01099937412
10.75	0.5016897713	0.4940077943	0.9956975656	0.4972111263	0.6929420665	0.01984090943	0.02624033634	0.03670054225	0.03661535111	0.01116097543
11.0	0.5037878379	0.4919097277	0.9956975656	0.4973228267	0.692823165	0.0197924234	0.02531147047	0.03670054225	0.03644630774	0.01101420434
11.25	0.5048284059	0.4908691597	0.9956975656	0.4971465175	0.6930056537	0.01923972951	0.02415874623	0.03670054225	0.03657572658	0.01112831052
11.5	0.501793525	0.4939040406	0.9956975656	0.4972780666	0.6928892558	0.01577510144	0.02362800188	0.03670054225	0.03706533527	0.01161310076
11.75	0.4978700336	0.497827532	0.9956975656	0.4969090729	0.6932481844	0.01276585686	0.0256900652	0.03670054225	0.03665381835	0.01120514563
12.0	0.4967745643	0.4989230012	0.9956975656	0.4972553542	0.6929035639	0.01086875815	0.02842527151	0.03670054225	0.03677097542	0.011307662
12.25	0.4989537908	0.4967437747	0.9956975656	0.4973143625	0.6928450676	0.01058026902	0.02975801223	0.03670054225	0.03678973342	0.0113218394
12.5	0.5021406179	0.4935569477	0.9956975656	0.4975317797	0.6926228997	0.01278530075	0.02684945393	0.03670054225	0.0367128478	0.01125088137
12.75	0.5035774786	0.492120087	0.9956975656	0.4974234136	0.6927352065	0.01856332289	0.0236702064	0.03670054225	0.03679229996	0.01132710906
13.0	0.5013488188	0.4943487468	0.9956975656	0.4971960011	0.6929645619	0.0230274163	0.02193696631	0.03670054225	0.0367885048	0.01132693038
13.25	0.497031743	0.4986658225	0.9956975656	0.4972006299	0.6929566151	0.02347279116	0.01971468049	0.03670054225	0.03669132626	0.011229913
13.5	0.4927757209	0.5029218447	0.9956975656	0.4973496634	0.6928251304	0.02236781803	0.01955998983	0.03670054225	0.03728730113	0.01182083999
13.75	0.4903852889	0.5053122766	0.9956975656	0.4969456179	0.6932175712	0.02101001816	0.02033283045	0.03670054225	0.03683270481	0.01137208875
14.0	0.492482054	0.5032155115	0.9956975656	0.49746122	0.6927089097	0.02215445573	0.02045448909	0.03670054225	0.03715120952	0.01167215175
14.25	0.4959329548	0.4997646108	0.9956975656	0.4971475301	0.6930116744	0.02318450173	0.02139502643	0.03670054225	0.03674229407	0.01127708907
14.5	0.4981466584	0.4975509072	0.9956975656	0.4970996302	0.6930680787	0.02263507481	0.02017667912	0.03670054225	0.03700276772	0.01154523088
