# (1)t	(2)P_1	(3)P_2	(4)trace	(5)purity	(6)vonNeumann_entropy	(7)P_1 std	(8)P_2 std	(9)trace std	(10)purity std	(11)vonNeumann_entropy std
0.0	8.014395608000001e-20	3.688573444e-19	4.490013004e-19	2.200603734e-19	-0.001649167436	5.510363879000001e-19	6.3967082810000005e-19	9.233026315e-19	1.090637791e-18	0.01568132573
0.25	-9.735408755000001e-20	1.109767914e-19	1.3622703840000002e-20	-1.914869231e-18	-0.001231460813	5.795274883e-19	7.444214262e-19	1.015727919e-18	5.331641969e-18	0.003894221018
0.5	4.416561246e-19	2.587084599e-19	7.003645846e-19	-4.047624702e-18	1.326989121e-17	9.276442449e-19	5.328085765e-19	1.2015268179999999e-18	1.5550204719999998e-17	1.8713201689999998e-17
0.75	1.009268895e-19	-3.4649932530000003e-20	6.627695693000001e-20	2.8787003899999998e-18	1.479320303e-17	9.048829726e-19	4.527696132e-19	1.097058761e-18	1.9866275189999998e-17	4.5259794059999996e-17
1.0	3.757475106e-20	1.5398438950000002e-19	1.915591406e-19	-1.570371729e-18	6.217159954e-18	9.970763346e-19	4.973233863e-19	1.419107595e-18	6.18503868e-18	3.392357665e-17
1.25	5.889716544e-22	2.2884389090000003e-19	2.294328625e-19	-3.972714943e-19	7.036930117e-18	8.373853982000001e-19	5.706358952e-19	7.506038586e-19	5.904456998e-18	3.6826282449999995e-17
1.5	2.889429283e-20	2.5279982070000002e-20	5.4174274900000005e-20	-1.630117121e-19	5.819969507e-18	3.051507302e-19	6.759655718e-19	7.2762976870000005e-19	8.30853754e-19	3.9587169379999995e-17
1.75	-4.6998597170000007e-20	-2.640969024e-19	-3.110954995e-19	-1.78099724e-19	-4.040635091e-18	6.055601405e-19	4.006864401e-19	6.0386500030000005e-19	8.148676215e-19	2.434707398e-17
2.0	2.068392624e-20	4.324621495e-19	4.531460758e-19	1.662814828e-19	4.981704815e-18	4.78202358e-19	8.052207174000001e-19	7.976953437000001e-19	1.646156944e-18	2.456584137e-17
2.25	2.704014237e-19	1.994990951e-19	4.699005187e-19	2.8077686820000003e-19	1.175904995e-18	5.834973226e-19	9.675454259e-19	1.224172002e-18	2.646031798e-18	2.5784858059999997e-17
2.5	-3.892799948e-20	3.685850741e-19	3.2965707460000004e-19	1.136800858e-18	4.534471035e-18	5.362561017e-19	5.136101926e-19	5.7334284480000005e-19	3.499680279e-18	3.387833483e-17
2.75	8.820780884e-21	-1.388959333e-19	-1.300751524e-19	-1.27454328e-18	-3.394488682e-18	4.284292166e-19	9.932647968e-19	1.04582345e-18	3.406552328e-18	1.7650648769999998e-17
3.0	2.3206287860000003e-19	4.0747952260000004e-19	6.395424012e-19	3.2290584e-19	4.199386879e-18	6.232720352e-19	7.157114526000001e-19	8.230626834e-19	3.228533792e-18	2.543449271e-17
3.25	1.5849972740000002e-19	-1.560019542e-20	1.428995319e-19	1.010119199e-18	5.37890398e-18	7.419755342e-19	8.144792442000001e-19	1.3929072589999999e-18	1.768991935e-18	3.406979292e-17
3.5	2.767054198e-19	-4.0255915060000003e-19	-1.258537308e-19	-3.3334524010000003e-19	3.620301114e-18	3.2508496980000004e-19	6.884855734e-19	7.541501712e-19	2.7556285439999998e-18	2.233484185e-17
3.75	1.460758187e-19	-1.19031071e-19	2.7044747680000002e-20	5.292492832e-19	2.084625547e-18	6.505609179e-19	4.56481775e-19	6.172293409000001e-19	2.0389930969999998e-18	8.236569085999999e-18
4.0	1.0154466870000001e-19	2.220291212e-19	3.2357378990000003e-19	-2.190775019e-19	5.848399779e-19	4.347678055e-19	7.615667079000001e-19	9.009432947000001e-19	1.9331987469999998e-18	8.568082192e-18
4.25	-5.553510532e-20	8.018181337e-19	7.462830284e-19	1.5948470539999999e-18	-2.776541383e-18	6.0135570000000005e-19	6.718861023e-19	7.478860991e-19	1.524620337e-18	7.868006694e-18
4.5	2.784075113e-19	2.111695659e-19	4.895770772e-19	2.9452923490000004e-19	-6.946353524e-19	3.657291365e-19	6.762766954e-19	8.66812456e-19	1.433586848e-18	6.565108538e-18
4.75	-1.380526654e-19	-3.124732029e-19	-4.505258683e-19	-1.2080173060000001e-19	-1.222617799e-18	5.277253127e-19	7.349484034000001e-19	6.462245347000001e-19	1.410765021e-18	5.0680830109999996e-18
5.0	8.728602100000001e-20	-1.547526611e-19	-6.746664012000001e-20	-8.138258814000001e-19	-8.193392396e-19	6.265908776000001e-19	6.680176331e-19	1.052974646e-18	1.34201132e-18	5.810133799e-18
5.25	8.253742301000001e-20	-3.475318246e-19	-2.649944015e-19	-4.0659702650000004e-19	1.3089038829999999e-18	6.953479347e-19	8.882339182e-19	1.409630797e-18	2.150729633e-18	5.37582683e-18
5.5	-2.083989465e-20	2.728793211e-19	2.5203942650000003e-19	-3.439048272e-19	-2.42719136e-18	4.539659718e-19	7.914047941000001e-19	9.931703104e-19	1.106141564e-18	9.854805124e-18
5.75	2.4638748480000003e-19	-5.3609275600000005e-20	1.9277820920000001e-19	-4.413716991000001e-19	1.296518858e-18	6.888747377e-19	5.27316471e-19	5.962243877000001e-19	1.640258728e-18	4.573944437e-18
6.0	1.005558636e-19	-1.824324485e-19	-8.187658484e-20	-8.278952244e-20	9.483981472e-19	5.664826912e-19	7.84742172e-19	1.15188284e-18	2.068024828e-18	7.583104238e-18
6.25	2.740332892e-19	3.9562432240000003e-19	6.6965761160000005e-19	1.407531285e-18	-3.0886886140000006e-20	4.756821346e-19	5.655941021e-19	6.150336233e-19	1.936221997e-18	6.581173995e-18
6.5	1.115867377e-19	-1.436305256e-19	-3.2043787910000004e-20	-5.010927790000001e-19	-9.397960671e-19	6.254541507000001e-19	7.106271481000001e-19	9.204946973e-19	8.655977624000001e-19	3.090154373e-18
6.75	5.554824619e-19	-5.912868072000001e-20	4.963537812000001e-19	-5.726284381e-20	4.731467571000001e-19	5.156525986e-19	7.699356975e-19	8.76203261e-19	1.819228353e-18	2.115235293e-18
7.0	-6.169959935e-20	6.205885144e-20	3.592520839e-22	2.003563135e-19	1.261648523e-18	4.550117005e-19	7.699126143e-19	6.25242524e-19	2.18879517e-18	4.4534125709999996e-18
7.25	8.539184781e-20	-1.401392464e-19	-5.474739856000001e-20	-1.241587893e-18	2.120721114e-18	5.823820267e-19	9.756907078000001e-19	1.275182702e-18	2.277217132e-18	5.838145901e-18
7.5	3.595736176e-20	-5.3796320320000006e-20	-1.7838958560000002e-20	6.729261004000001e-20	6.483295258e-19	5.875795983e-19	8.856586852e-19	1.3213042989999999e-18	2.285403715e-18	3.319333756e-18
