# (1)t	(2)P_1	(3)P_2	(4)trace	(5)purity	(6)vonNeumann_entropy	(7)P_1 std	(8)P_2 std	(9)trace std	(10)purity std	(11)vonNeumann_entropy std
0.0	1.005416183	-0.002051518979	1.003364664	1.011366511	-0.01494181645	0.0120793447	0.007004260642	0.00560141513	0.02440942087	0.04410555801
0.25	0.9482576938	0.05510697055	1.003364664	0.9958242422	0.02747062032	0.01277375354	0.007920637806	0.00560141513	0.0237691578	0.04278857488
0.5	0.8101447275	0.1932199368	1.003364664	0.892730473	0.224754224	0.01201256261	0.007487848678	0.00560141513	0.02381694335	0.02787475784
0.75	0.6583897506	0.3449749138	1.003364664	0.7477731041	0.4234937683	0.009593149793	0.005432947895	0.00560141513	0.01666895049	0.01551526299
1.0	0.5425680502	0.4607966141	1.003364664	0.6259341223	0.5644302183	0.00689494844	0.004280281246	0.00560141513	0.01560969966	0.01320336057
1.25	0.4823482288	0.5210164356	1.003364664	0.5483524414	0.6465733172	0.00616320475	0.006825771066	0.00560141513	0.01412514037	0.01167998558
1.5	0.4678908028	0.5354738615	1.003364664	0.5152747108	0.6802013148	0.007775911641	0.008695320486	0.00560141513	0.007683580389	0.004330862218
1.75	0.4750352577	0.5283294066	1.003364664	0.5056746675	0.6898118079	0.009560107177	0.008972419167	0.00560141513	0.005952398266	0.00215549292
2.0	0.4816735885	0.5216910758	1.003364664	0.5119609028	0.6835242749	0.01139925372	0.00898752912	0.00560141513	0.007338226226	0.004161729442
2.25	0.4743748097	0.5289898546	1.003364664	0.5270171436	0.668352172	0.01294544605	0.009999485779	0.00560141513	0.01070768705	0.007999874512
2.5	0.4473848617	0.5559798026	1.003364664	0.5416237618	0.6534911038	0.01394774295	0.01217989724	0.00560141513	0.01148035413	0.008380971736
2.75	0.4070512101	0.5963134542	1.003364664	0.5529990024	0.6418055762	0.01354212215	0.01341822033	0.00560141513	0.01125416851	0.008132332236
3.0	0.3675297549	0.6358349094	1.003364664	0.5619085909	0.6325659332	0.01292712304	0.01389649276	0.00560141513	0.01122396896	0.009205612992
3.25	0.3410545415	0.6623101228	1.003364664	0.5702787832	0.6238507203	0.01219172838	0.01409367409	0.00560141513	0.01213090726	0.009934833482
3.5	0.3313873933	0.671977271	1.003364664	0.5781403167	0.615615668	0.009900612321	0.01278620655	0.00560141513	0.01165616091	0.009393848728
3.75	0.334965307	0.6683993573	1.003364664	0.5844266067	0.6089984625	0.007326968403	0.01023607683	0.00560141513	0.011510613	0.008986392996
4.0	0.3433436474	0.6600210169	1.003364664	0.5891488519	0.6040079485	0.007113222661	0.00858386556	0.00560141513	0.01099937992	0.00817905027
4.25	0.3477836807	0.6555809836	1.003364664	0.59579391	0.596949255	0.007056585049	0.007011764769	0.00560141513	0.01049364402	0.007487793532
4.5	0.344223532	0.6591411323	1.003364664	0.6025144297	0.5897513599	0.008141165208	0.006695960961	0.00560141513	0.01089716909	0.009014572834
4.75	0.3334174035	0.6699472608	1.003364664	0.6116140206	0.5799715842	0.009067159901	0.008287932016	0.00560141513	0.009952572333	0.00798005568
5.0	0.3183235332	0.6850411311	1.003364664	0.6204857324	0.5703670564	0.00893510991	0.009837350434	0.00560141513	0.01079660011	0.008603571914
5.25	0.3045950205	0.6987696438	1.003364664	0.627091473	0.5631477588	0.009714157147	0.01151009481	0.00560141513	0.01341806023	0.01193837358
5.5	0.2971226996	0.7062419647	1.003364664	0.6330557707	0.5566160615	0.009828090435	0.01208565193	0.00560141513	0.01406209973	0.01236854742
5.75	0.2965164272	0.7068482371	1.003364664	0.6335463565	0.5560777927	0.01009259283	0.01257443474	0.00560141513	0.01483820736	0.01302384397
6.0	0.300869207	0.7024954573	1.003364664	0.6339200821	0.5556710748	0.01065423469	0.01276271708	0.00560141513	0.01483932795	0.01288811385
6.25	0.3058161925	0.6975484718	1.003364664	0.6346450261	0.5548815687	0.009326715226	0.01075210529	0.00560141513	0.01552591408	0.01322846483
6.5	0.3084712594	0.6948934049	1.003364664	0.6359296007	0.5534535643	0.00889890924	0.009830683662	0.00560141513	0.01581590521	0.0140112665
6.75	0.3084759112	0.6948887531	1.003364664	0.6329834823	0.5567063532	0.009696945089	0.01082988571	0.00560141513	0.01334670691	0.01128488841
7.0	0.306394216	0.6969704484	1.003364664	0.6384080609	0.5507472019	0.008752746764	0.0102040759	0.00560141513	0.01105483621	0.008386344926
7.25	0.3009818951	0.7023827692	1.003364664	0.6381051249	0.5510811094	0.006457196684	0.009345441234	0.00560141513	0.0131411842	0.01048288499
7.5	0.2965924342	0.7067722301	1.003364664	0.6410794326	0.547802726	0.005687044266	0.009226253352	0.00560141513	0.01053292579	0.007367349178
7.75	0.2956922449	0.7076724194	1.003364664	0.6401002256	0.5488798993	0.006018570149	0.009437711777	0.00560141513	0.01212308548	0.009381919408
8.0	0.2980743415	0.7052903228	1.003364664	0.6428554523	0.5458153215	0.007605536213	0.01077112499	0.00560141513	0.01337235286	0.01136356712
8.25	0.3014587622	0.7019059021	1.003364664	0.6413657917	0.5474705872	0.009340288557	0.01157243434	0.00560141513	0.01472878107	0.01237516186
8.5	0.3036916059	0.6996730584	1.003364664	0.6414060658	0.5474175525	0.01042780627	0.01144816078	0.00560141513	0.01488609113	0.01285854173
8.75	0.3039510437	0.6994136207	1.003364664	0.6415188605	0.5472694759	0.01139740455	0.01151367437	0.00560141513	0.01405186087	0.01302562692
9.0	0.302633378	0.7007312863	1.003364664	0.6424999445	0.5461881628	0.01189068089	0.01173932749	0.00560141513	0.0118662176	0.01096620924
9.25	0.3011051325	0.7022595318	1.003364664	0.6446244951	0.5438305568	0.01170836585	0.01159380389	0.00560141513	0.01206165727	0.01126596608
9.5	0.2985299984	0.7048346659	1.003364664	0.645644251	0.5426965821	0.01001293966	0.01010227986	0.00560141513	0.01230711076	0.01155452575
9.75	0.2961627598	0.7072019045	1.003364664	0.6439535898	0.5445805472	0.007632006358	0.008305387546	0.00560141513	0.01298242736	0.01179085022
10.0	0.2978899203	0.7054747441	1.003364664	0.6446250961	0.5438488143	0.005706705894	0.008017410388	0.00560141513	0.01084108148	0.009249635585
10.25	0.3010402328	0.7023244315	1.003364664	0.6439846781	0.5445622947	0.005761671879	0.008847038617	0.00560141513	0.01275155932	0.01087637239
10.5	0.303713906	0.6996507584	1.003364664	0.645741203	0.5426206504	0.006371101121	0.008107488758	0.00560141513	0.008467608418	0.006178082445
10.75	0.3048433452	0.6985213191	1.003364664	0.6417860404	0.546991601	0.008309434664	0.007510806905	0.00560141513	0.01183932999	0.01030836443
11.0	0.3052467377	0.6981179266	1.003364664	0.6435655432	0.5450222193	0.009703885505	0.008313795652	0.00560141513	0.0111727226	0.009634528984
11.25	0.3054290108	0.6979356535	1.003364664	0.6409821807	0.5478777046	0.009091345905	0.008896954451	0.00560141513	0.01182808573	0.01046903184
11.5	0.3036844357	0.6996802287	1.003364664	0.6389739585	0.550121179	0.007724101079	0.01002134739	0.00560141513	0.01295543841	0.01034980078
11.75	0.3005243941	0.7028402702	1.003364664	0.6386750548	0.5504530038	0.007460912173	0.01180743314	0.00560141513	0.01370340176	0.01097735467
12.0	0.2986162756	0.7047483887	1.003364664	0.6428835475	0.5458016179	0.008051573411	0.0129087026	0.00560141513	0.01309591372	0.01026450101
12.25	0.2996639702	0.7037006941	1.003364664	0.6426824413	0.5460115059	0.00806039423	0.01213950289	0.00560141513	0.01630968747	0.013889061
12.5	0.3001237553	0.703240909	1.003364664	0.6441206139	0.5444287885	0.008223697623	0.01118432874	0.00560141513	0.01577092558	0.01295046322
12.75	0.299991464	0.7033732003	1.003364664	0.6435485175	0.5450714777	0.008767366084	0.01126229419	0.00560141513	0.01393911397	0.01080529705
13.0	0.3013211572	0.7020435071	1.003364664	0.6458720472	0.542482841	0.00778638245	0.01107498216	0.00560141513	0.0131511019	0.01048022646
13.25	0.301972195	0.7013924693	1.003364664	0.6476784649	0.5404562122	0.007833362819	0.01176185254	0.00560141513	0.01607110244	0.01400355824
