# (1)t	(2)P_1	(3)P_2	(4)trace	(5)purity	(6)vonNeumann_entropy
0.0	0.0	0.0	0.0	0.0	NaN
0.25	0.0	5.59470228e-18	5.59470228e-18	-4.269740685e-17	1.12107735e-16
0.5	4.2137919299999996e-17	-2.452669391e-16	-2.0312901979999998e-16	-1.537402364e-16	-2.067713567e-16
0.75	-4.0445785709999995e-16	-1.8062455629999998e-16	-5.850824134e-16	-5.651363894e-16	-8.371139308e-17
1.0	-1.1058593489999999e-16	-1.6981374699999997e-16	-2.803996819e-16	1.6513368969999998e-16	-5.494892032999999e-16
1.25	9.196239973999999e-16	4.54704855e-18	9.24171046e-16	1.355271851e-15	-6.0276665789999995e-16
1.5	3.877931085e-16	1.2009563599999999e-16	5.078887444999999e-16	7.578489267999999e-16	-3.8762962909999995e-16
1.75	-7.328293139e-16	-3.4737808299999995e-16	-1.080207397e-15	-6.276176142e-16	-2.0179895539999997e-16
2.0	-5.549930720999999e-16	4.3457354419999997e-16	-1.20419528e-16	5.156033253999999e-16	-6.410815002999999e-16
2.25	4.531850404e-16	-4.1024394989999996e-16	4.294109049e-17	4.648239742e-16	-4.4264632659999996e-16
2.5	1.909027973e-16	-3.925568774e-16	-2.0165408e-16	4.681398277e-16	-6.508386846e-16
2.75	1.346056229e-15	-6.317809078999999e-16	7.142753213999999e-16	1.06205683e-15	-5.321630099e-16
3.0	6.248737537e-16	-9.080814346999998e-16	-2.8320768099999996e-16	5.825487249999999e-16	-8.774742763999999e-16
3.25	2.471816871e-15	-2.50885907e-15	-3.704219871e-17	-8.540760266999999e-16	9.264069780999999e-16
3.5	2.583227427e-15	-4.495712164e-15	-1.912484737e-15	-4.109252171e-15	2.796212712e-15
3.75	4.174901424e-16	-2.228443749e-15	-1.810953607e-15	-4.331901813e-15	3.149827269e-15
4.0	-1.977494378e-15	-7.264416381e-17	-2.050138541e-15	-5.247555263e-15	3.833441455e-15
4.25	-3.609164821e-15	2.434756014e-15	-1.174408808e-15	-4.525601937e-15	3.823764096e-15
4.5	-3.335786604e-15	2.537331076e-15	-7.984555273e-16	-4.412677509e-15	4.086765769e-15
4.75	-5.791810548999999e-16	-1.473330643e-16	-7.265141192e-16	-5.234197882e-15	5.059215426e-15
5.0	2.030493112e-15	-2.209730225e-15	-1.792371129e-16	-4.393003897e-15	4.757230435e-15
5.25	4.194397929e-15	-4.169117451e-15	2.528047861e-17	-3.9608047040000004e-15	4.603918058e-15
5.5	4.130529131e-15	-4.902064978e-15	-7.715358473e-16	-4.7044825670000004e-15	4.703547564e-15
5.75	3.16421951e-15	-4.676964944e-15	-1.512745434e-15	-5.0621088390000004e-15	4.308181075e-15
6.0	1.38531664e-15	-2.754920936e-15	-1.369604295e-15	-4.63262694e-15	3.972067279e-15
6.25	-2.5375372019999996e-16	-7.048329205999999e-16	-9.585866408999998e-16	-4.357686818e-15	4.154561487e-15
6.5	-2.886233929e-16	-1.37484564e-15	-1.6634690330000001e-15	-5.21691035e-15	4.348755493e-15
6.75	-2.0293608690000002e-15	-7.227334178999999e-16	-2.752094287e-15	-5.516672452e-15	3.345793137e-15
7.0	-1.5118124730000001e-15	-2.093983043e-15	-3.605795516e-15	-6.374940927e-15	3.268691767e-15
7.25	-5.369555931999999e-16	-3.7526455140000004e-15	-4.289601107e-15	-7.542071156e-15	3.756032583e-15
7.5	1.028840652e-15	-5.269429126e-15	-4.240588474e-15	-8.760325289e-15	5.399009367e-15
7.75	1.33175947e-15	-4.499432798e-15	-3.167673328e-15	-6.3042643150000004e-15	3.649744299e-15
8.0	2.214036072e-15	-5.434809622e-15	-3.2207735500000002e-15	-7.659634063e-15	5.423952788e-15
8.25	6.524075266999999e-16	-3.915684101e-15	-3.263276575e-15	-7.425251264e-15	5.0545073970000005e-15
