# (1)t	(2)P_1	(3)P_2	(4)trace	(5)purity	(6)vonNeumann_entropy
0.0	1.0	0.0	1.0	1.0	NaN
0.25	0.9400611493	0.05993885073	1.0	0.9748037467	0.06833443082
0.5	0.8032114255	0.1967885745	1.0	0.9185514203	0.175913431
0.75	0.6414461176	0.3585538824	1.0	0.8257115049	0.3172033305
1.0	0.5121894643	0.4878097962	0.9999992605	0.7282189057	0.443297655
1.25	0.4511974244	0.5488009998	0.9999984242	0.6447004685	0.5405043515
1.5	0.4614188761	0.5385788704	0.9999977465	0.5804458488	0.6103901183
1.75	0.5159787374	0.4840184714	0.9999972088	0.5405507973	0.6520275335
2.0	0.5730622629	0.4269345635	0.9999968265	0.5297613477	0.6630809621
2.25	0.5953798175	0.404616856	0.9999966735	0.5425987391	0.6499193962
2.5	0.5655709285	0.4344258953	0.9999968238	0.5635678573	0.6281562341
2.75	0.4914399486	0.5085575831	0.9999975317	0.5795974831	0.6112884802
3.0	0.3998929155	0.6001056059	0.9999985214	0.5882317929	0.6021165271
3.25	0.3232414893	0.6767578691	0.9999993584	0.5929340354	0.5970955003
3.5	0.2845801451	0.715419542	0.9999996872	0.5953875114	0.5944681425
3.75	0.2887338755	0.7112657199	0.9999995955	0.5956152954	0.5942238473
4.0	0.3220449558	0.6779542475	0.9999992033	0.5964409473	0.5933379202
4.25	0.360196628	0.6398017838	0.9999984118	0.6030980723	0.586175294
4.5	0.3798152427	0.6201822277	0.9999974704	0.6180672829	0.5699267855
4.75	0.3684505972	0.6315463927	0.99999699	0.6387760001	0.5471073459
5.0	0.3287705534	0.6712260117	0.9999965651	0.6608549455	0.5223135161
5.25	0.2758003062	0.7241958099	0.9999961161	0.6817177601	0.4984121369
5.5	0.2290907243	0.7709048358	0.9999955601	0.7002596748	0.4767544229
5.75	0.2037592993	0.7962356427	0.9999949421	0.7150893763	0.4591315806
6.0	0.2043968481	0.7955973543	0.9999942024	0.7251070917	0.4470663954
6.25	0.2241594749	0.7758337844	0.9999932592	0.7315152008	0.4392772415
6.5	0.2489218554	0.7510699536	0.999991809	0.7377120503	0.4316899767
6.75	0.2641316433	0.7358588441	0.9999904874	0.7467373666	0.4205421332
7.0	0.2611285484	0.7388606209	0.9999891692	0.759322627	0.4047945954
7.25	0.2402592606	0.7597288655	0.999988126	0.7743124489	0.3857119374
7.5	0.2097632949	0.790224027	0.9999873219	0.7900460636	0.3652719578
7.75	0.1813594638	0.8186272195	0.9999866833	0.8048598073	0.3456105722
8.0	0.1648057388	0.8351802193	0.9999859581	0.8170418666	0.3291137893
8.25	0.1638693934	0.8361156415	0.9999850349	0.8254535027	0.3175368365
8.5	0.1753127816	0.8246710584	0.99998384	0.8305138133	0.3104943007
8.75	0.1910232903	0.8089591336	0.999982424	0.8341826651	0.3053498217
9.0	0.202026118	0.7979547843	0.9999809023	0.8386961199	0.2989767601
9.25	0.2024479516	0.7975315453	0.999979497	0.8452816601	0.2895878627
9.5	0.1917241846	0.8082539909	0.9999781754	0.8538764181	0.2771643764
9.75	0.1742787181	0.8256981085	0.9999768266	0.8635720218	0.2629025876
10.0	0.1570766335	0.8428989048	0.9999755383	0.8730680254	0.248660861
10.25	0.146321308	0.8536530804	0.9999743884	0.8810221859	0.2365064312
10.5	0.1448673698	0.8551058375	0.9999732072	0.8865352482	0.2279524864
10.75	0.15132573	0.8486459535	0.9999716835	0.8896853492	0.2230132115
11.0	0.1611066484	0.8388634316	0.99997008	0.8915445004	0.2200790194
11.25	0.1687305403	0.8312379449	0.9999684852	0.8935446239	0.2169075971
11.5	0.1702900655	0.8296769041	0.9999669696	0.8967043993	0.2118670349
11.75	0.1649700969	0.834995465	0.9999655619	0.9012678574	0.2045163856
12.0	0.1550723709	0.8448918513	0.9999642222	0.9067927393	0.1954975362
12.25	0.1446871521	0.8552757688	0.9999629209	0.9124286643	0.1861533054
12.5	0.1377321558	0.8622294503	0.9999616061	0.9172402798	0.1780523172
12.75	0.1362688781	0.8636895566	0.9999584347	0.920581498	0.1723510039
13.0	0.1398143464	0.8601413455	0.9999556919	0.9223987049	0.16922231
13.25	0.1458023619	0.8541505428	0.9999529046	0.9232652821	0.1677203105
13.5	0.1509167253	0.8490333753	0.9999501006	0.9240497712	0.1663562079
13.75	0.1526008548	0.8473464665	0.9999473213	0.9254667265	0.1638886994
14.0	0.1500815744	0.8498630608	0.9999446351	0.9277899814	0.1598217278
14.25	0.1445137079	0.8554284041	0.9999421119	0.9308247592	0.1544619721
14.5	0.138275586	0.861664183	0.999939769	0.9340558991	0.1486917485
14.75	0.1338097246	0.8661278265	0.9999375511	0.9368767094	0.1435967593
15.0	0.1325578473	0.867377525	0.9999353723	0.9388424553	0.1400116533
15.25	0.1344409331	0.8654922404	0.9999331734	0.9398654039	0.1381321787
15.5	0.1380519892	0.8618789617	0.9999309509	0.9402422956	0.1374340884
