# (1)t	(2)P_1	(3)P_2	(4)trace	(5)purity	(6)vonNeumann_entropy
0.0	0.0	0.0	0.0	0.0	NaN
2.0	-1.3677517300000001e-22	-2.7511630129999998e-18	-2.751299788e-18	-8.614592723000001e-19	-1.3560262789999999e-17
4.0	-1.733101768e-18	-2.602085214e-18	-4.335186982e-18	1.505851175e-17	-6.132180979e-17
6.0	-3.442052966e-18	-1.214306433e-17	-1.5585117299999998e-17	1.825350417e-17	-9.324072419999999e-17
8.0	1.232251986e-15	1.838806885e-15	3.071058871e-15	5.250923085e-15	-1.98846502e-15
10.0	1.195720225e-13	3.052211262e-13	4.247931487e-13	3.231585018e-13	2.2767355e-13
12.0	7.57239369e-13	-5.5580540170000004e-14	7.016588289e-13	8.722143009e-13	-1.907095632e-13
14.0	1.00602504e-12	-4.189704139e-14	9.641279988e-13	1.165147116e-12	-3.001357792e-13
16.0	1.057429526e-12	4.86458096e-13	1.543887622e-12	1.715153395e-12	-3.541465711e-13
18.0	2.218609531e-12	1.010261319e-12	3.22887085e-12	3.139325818e-12	-1.904740687e-13
20.0	-1.251329473e-11	1.550101714e-11	2.987722411e-12	2.055896387e-11	-2.088897215e-11
22.0	-1.181001286e-11	1.370034641e-11	1.890333549e-12	2.001690994e-11	-2.211155199e-11
24.0	-1.141812454e-11	1.468802857e-11	3.269904027e-12	1.873422763e-11	-1.927821623e-11
26.0	-1.086898073e-11	1.505093272e-11	4.181951989e-12	1.638627856e-11	-1.531965644e-11
28.0	-1.009359175e-11	1.609717915e-11	6.003587395e-12	1.562282578e-11	-1.185516557e-11
30.0	-4.398413039e-12	1.37354017e-11	9.336988666e-12	-8.829903788e-12	2.51311991e-11
32.0	-9.325675824e-12	1.986752429e-11	1.054184847e-11	1.162258029e-10	-1.381938713e-10
34.0	1.188701331e-11	-5.032446682e-12	6.85456663e-12	4.846515646e-11	-5.410926837e-11
36.0	2.072921056e-11	-7.219808085e-12	1.350940248e-11	2.458323461e-11	-1.275441992e-11
38.0	3.965623669e-11	-2.897132534e-11	1.068491136e-11	-1.021251357e-10	1.509710326e-10
40.0	9.232199647e-11	-7.093264864e-11	2.138934782e-11	-1.282349586e-10	2.012872314e-10
42.0	7.26941322e-11	-5.605342579e-11	1.664070641e-11	-1.100778576e-10	1.701789923e-10
44.0	9.090913593e-11	-8.625786196e-11	4.651273967e-12	-1.853744229e-10	2.519416521e-10
46.0	7.994355809e-11	-8.707237709e-11	-7.128818993e-12	-8.932486651e-11	1.074422477e-10
48.0	-1.692914299e-11	5.68475822e-12	-1.124438477e-11	-8.719558403e-11	9.836656293e-11
50.0	-5.918041365e-11	4.273890963e-11	-1.644150401e-11	-3.52451872e-10	4.37975192e-10
52.0	-1.261415353e-10	9.279264856e-11	-3.334888676e-11	-4.409683066e-10	5.284433053e-10
54.0	-2.171265033e-9	2.196240245e-9	2.497521207e-11	2.940884288e-10	-3.4819705e-10
56.0	-8.621228285e-9	9.058926567e-9	4.376982823e-10	5.102624387e-8	-6.597253025e-8
58.0	-1.227395853e-8	1.141227314e-8	-8.616853922e-10	-2.25499014e-8	2.824041582e-8
60.0	-1.313045793e-8	1.639626576e-8	3.265807828e-9	-1.04471219e-7	1.414075677e-7
62.0	1.235608929e-6	-1.290569048e-6	-5.496011907e-8	-1.436216978e-6	1.803450818e-6
64.0	-1.650943463e-6	1.587563613e-6	-6.337984969e-8	7.002847929e-6	-9.275621576e-6
66.0	1.236759282e-6	-1.340570447e-6	-1.038111647e-7	4.312226186e-6	-5.807729918e-6
68.0	7.823422361e-7	-8.761568389e-7	-9.381460283e-8	-6.025582463e-7	6.5602979e-7
70.0	3.84822696e-6	-4.229118573e-6	-3.808916126e-7	3.921479791e-7	-1.065311199e-6
72.0	7.927167471e-6	-8.805933198e-6	-8.787657269e-7	1.323330043e-6	-3.017656617e-6
74.0	9.842565387e-6	-1.097659957e-5	-1.134034178e-6	7.239778568e-6	-1.121477656e-5
76.0	2.489989402e-6	-3.962647271e-6	-1.472657869e-6	7.763908052e-6	-1.243919234e-5
78.0	2.711950655e-6	-3.964586243e-6	-1.252635588e-6	4.633972923e-6	-7.999333101e-6
80.0	2.780435051e-6	-3.633730825e-6	-8.532957736e-7	-1.768143448e-5	2.227584624e-5
82.0	1.586109886e-6	-2.458008956e-6	-8.718990701e-7	-3.559819884e-5	4.620906197e-5
84.0	7.39337469e-6	-8.212123339e-6	-8.187486489e-7	-5.316198013e-5	6.987736131e-5
86.0	1.481398071e-5	-1.556959893e-5	-7.556182175e-7	-7.89663526e-5	0.0001046836687
88.0	1.226870662e-5	-1.217107434e-5	9.763228385e-8	-7.799966783e-5	0.0001048831436
90.0	1.042016087e-5	-1.084539498e-5	-4.252341145e-7	-6.000469343e-5	8.012523713e-5
92.0	7.093344682e-6	-7.739298805e-6	-6.459541231e-7	-5.358522227e-5	7.133783629e-5
94.0	1.844705156e-5	-1.89850596e-5	-5.380080426e-7	-5.135696738e-5	6.86481037e-5
96.0	2.758522714e-5	-2.788593341e-5	-3.007062742e-7	-5.612682534e-5	7.553609283e-5
98.0	2.656183548e-5	-2.681231072e-5	-2.504752376e-7	-5.931701186e-5	7.986954551e-5
