# (1)t	(2)P_1	(3)P_2	(4)trace	(5)purity	(6)vonNeumann_entropy
0.0	1.0	0.0	1.0	1.0	NaN
2.0	0.98141708	0.01858292004	1.0	0.9984654041	0.006274780451
4.0	0.9289042351	0.07109576486	1.0	0.9890258142	0.03419250241
6.0	0.8495597007	0.1504402993	1.0	0.9575276484	0.1046115766
8.0	0.7536681207	0.246331344	0.9999994647	0.8985276772	0.2090100062
10.0	0.6524936342	0.3475040247	0.9999976588	0.8210512683	0.3236343828
12.0	0.5567593838	0.4432356085	0.9999949923	0.7447373853	0.4230280674
14.0	0.4751552317	0.5248368523	0.999992084	0.6898906008	0.4889116462
16.0	0.4129833193	0.587005613	0.9999889324	0.6675377271	0.5147013703
18.0	0.3714204797	0.6285665327	0.9999870124	0.6753419805	0.5057576198
20.0	0.347953498	0.6520323534	0.9999858515	0.7013817162	0.4754197086
22.0	0.3376513689	0.6623332816	0.9999846505	0.7319302713	0.4387602947
24.0	0.334859528	0.6651239914	0.9999835194	0.7577140826	0.4068132751
26.0	0.3348082437	0.6651740574	0.9999823011	0.7754348769	0.3842601168
28.0	0.3346066279	0.665374179	0.9999808069	0.7859709019	0.3705988014
30.0	0.3335088163	0.6664694489	0.9999782651	0.7916208505	0.3631886313
32.0	0.3324587733	0.6675162409	0.9999750142	0.7944107203	0.3595048671
34.0	0.3333467385	0.6666283899	0.9999751284	0.7955507966	0.3579973771
36.0	0.338116272	0.6618619883	0.9999782603	0.7959925414	0.3574171342
38.0	0.34806143	0.6519156929	0.9999771229	0.7962496218	0.357074945
40.0	0.3635498341	0.6364237844	0.9999736185	0.7963102603	0.3569894649
42.0	0.3839547091	0.6160139078	0.9999686169	0.7960027322	0.3573895024
44.0	0.4078015209	0.5921641285	0.9999656495	0.7949647507	0.3587588293
46.0	0.4330878522	0.5668759904	0.9999638426	0.7930307411	0.3613102637
48.0	0.4576415125	0.5423227544	0.9999642669	0.7905170031	0.3646200873
50.0	0.4794443117	0.5205211629	0.9999654746	0.7879690412	0.3679641658
52.0	0.4968960404	0.5030727016	0.999968742	0.7861098809	0.3704001333
54.0	0.5089424939	0.4910274292	0.9999699232	0.7853231273	0.3714287959
56.0	0.5151538233	0.4848149279	0.9999687512	0.7855856766	0.3710845375
58.0	0.5158324528	0.4841340186	0.9999664714	0.7865347541	0.3698418262
60.0	0.5117491917	0.4882104563	0.9999596479	0.7876302158	0.3683993983
62.0	0.5041515086	0.4958044464	0.9999559549	0.7885734471	0.3671587481
64.0	0.4944778252	0.5054800798	0.999957905	0.7891073587	0.3664615547
66.0	0.484108335	0.5158540021	0.9999623371	0.7894661947	0.3659971788
68.0	0.4739977029	0.5259682071	0.99996591	0.7898403047	0.3655112905
70.0	0.4646212145	0.535344897	0.9999661115	0.7907756977	0.3642827333
72.0	0.4557446518	0.5442212459	0.9999658977	0.7923187901	0.362251686
74.0	0.4468267407	0.553138279	0.9999650196	0.7940698993	0.3599405309
76.0	0.4370630208	0.5629002891	0.9999633098	0.7958980957	0.3575202936
78.0	0.4257886674	0.5741680966	0.999956764	0.7977850161	0.3550085695
80.0	0.4128500818	0.5870994444	0.9999495262	0.7995819485	0.3526086761
82.0	0.3986690402	0.6012716317	0.9999406719	0.8011956609	0.3504445321
84.0	0.384323927	0.6156098024	0.9999337294	0.8026594174	0.348478595
86.0	0.3714552885	0.6284759758	0.9999312643	0.8039550545	0.3467403711
88.0	0.3617848345	0.6381471856	0.9999320201	0.8053215971	0.3449084192
90.0	0.356716929	0.6432097295	0.9999266585	0.806934254	0.3427322375
92.0	0.357117977	0.6427980767	0.9999160537	0.80867916	0.3403642442
94.0	0.3629915097	0.6369122589	0.9999037686	0.8101353461	0.3383779054
96.0	0.3736088205	0.6262899264	0.9998987469	0.8107554875	0.3375309318
98.0	0.3876145099	0.6122902956	0.9999048055	0.8102505466	0.3382236464
100.0	0.4033961744	0.5965235408	0.9999197151	0.8086563925	0.3404005496
102.0	0.4193640138	0.5805737314	0.9999377452	0.8064307998	0.3434264291
104.0	0.4341538607	0.5657962157	0.9999500764	0.8041084735	0.3465630152
106.0	0.4469043565	0.5530533596	0.9999577161	0.8020786002	0.3492908919
108.0	0.4570770939	0.5428864399	0.9999635338	0.800542747	0.3513494326
110.0	0.4644523494	0.5355120083	0.9999643577	0.7994719091	0.3527771372
112.0	0.469018936	0.5309427522	0.9999616882	0.7988112577	0.3536521453
