# (1)t	(2)P_1	(3)P_2	(4)trace	(5)purity	(6)vonNeumann_entropy	(7)P_1 std	(8)P_2 std	(9)trace std	(10)purity std	(11)vonNeumann_entropy std
0.0	0.0	0.0	0.0	0.0	NaN	0.0	0.0	0.0	0.0	NaN
2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4.0	2.2093222739999998e-21	-2.6617798939999998e-21	-4.524576196e-22	-2.131140361e-19	9.416275254e-19	6.384278639e-21	7.125637463e-21	8.579997659e-21	8.499648241e-19	2.475362497e-18
6.0	-1.609402856e-20	-9.971258057e-21	-2.6065286620000003e-20	-2.0381978900000002e-19	1.763262037e-19	2.8002875660000004e-20	2.294018781e-20	4.067083953e-20	1.543151872e-18	3.230106685e-18
8.0	-1.9472913970000002e-20	-6.228460469e-23	-1.953519857e-20	6.211536852e-19	-1.25199084e-18	6.956061445000001e-20	5.686457557e-20	1.089864147e-19	2.062634438e-18	5.724978413e-18
10.0	-1.1374981330000001e-20	4.250136754e-21	-7.124844574e-21	2.5466960369999998e-18	-2.525655385e-18	1.591429574e-19	1.728077613e-19	2.2999358150000003e-19	3.686481145e-18	5.131572653e-18
12.0	2.6875397950000002e-20	3.7078433670000004e-20	6.395383162000001e-20	2.838945423e-18	-4.468327975e-18	3.1187547400000004e-19	2.5032575e-19	3.983359218e-19	3.703511277e-18	2.9884474089999998e-18
14.0	1.023271334e-19	1.39086277e-20	1.162357611e-19	3.583141428e-18	-2.826389686e-18	4.793461446000001e-19	3.764665862e-19	5.862891499000001e-19	1.449690338e-17	2.0804403e-17
16.0	1.337543207e-19	2.3471011620000003e-20	1.572253323e-19	1.1831172e-18	-2.2469973020000003e-19	7.484945403e-19	3.536916492e-19	7.475869679e-19	8.752925942e-18	1.777167054e-17
18.0	1.182592262e-19	4.5485691490000006e-20	1.637449177e-19	1.540346512e-18	-1.012089299e-17	9.576647903000001e-19	4.609173277000001e-19	9.072969973e-19	3.4173650789999998e-18	1.530458106e-17
20.0	7.827685492999999e-21	2.322421143e-20	3.1051896920000004e-20	4.904028085e-18	-9.155115047e-18	1.174642976e-18	5.150116698e-19	1.0681342969999999e-18	5.841829753e-18	2.207187543e-17
22.0	-1.3200278380000002e-19	1.5222543730000002e-20	-1.167802401e-19	2.016100362e-19	7.059951485e-18	1.343643214e-18	4.76003703e-19	1.128807618e-18	2.0016899e-18	1.50829737e-17
24.0	-1.827635729e-19	-5.404874785e-20	-2.368123208e-19	-4.687172551e-19	3.79644934e-18	1.388291604e-18	4.965642437e-19	1.107329851e-18	1.479688325e-18	1.7742135779999998e-17
26.0	-1.8860332980000002e-19	-1.8057432260000002e-19	-3.6917765240000004e-19	-5.536394211e-20	-4.897493422e-18	1.391299219e-18	6.351974817000001e-19	1.084260911e-18	2.756928165e-18	4.452646848e-17
28.0	-1.879418004e-19	-3.036590814e-19	-4.916008818e-19	-2.956311087e-19	-3.643180829e-18	1.348172034e-18	6.673794034e-19	1.101880436e-18	2.703238411e-18	8.768359823e-18
30.0	-2.3581954940000003e-19	-3.916346267e-19	-6.274541762000001e-19	-1.025646678e-18	-1.607676809e-19	1.333067681e-18	6.722819498000001e-19	1.142338953e-18	1.609134874e-18	2.991671759e-18
32.0	-2.847442782e-19	-4.114394946e-19	-6.961837727e-19	-9.919309094e-19	-3.0081154169999998e-18	1.374882298e-18	7.503002982e-19	1.297268286e-18	2.354481213e-18	7.662157331999999e-18
34.0	-3.517627671e-19	-3.168344721e-19	-6.685972392000001e-19	-5.0355661990000006e-20	3.8232233479999996e-18	1.389461168e-18	9.222629838e-19	1.509346194e-18	3.092247651e-18	1.172082928e-17
36.0	-4.46131341e-19	-1.327671437e-19	-5.788984848000001e-19	1.966589389e-19	-1.014430897e-17	1.324029655e-18	1.139199193e-18	1.59937049e-18	4.0955549349999996e-18	3.51689257e-17
38.0	-4.783652665e-19	3.215058487e-20	-4.462146817e-19	-2.8933278770000003e-20	-7.501220238e-18	1.2380830029999999e-18	1.33032747e-18	1.649484917e-18	1.939614853e-18	8.776489226e-18
40.0	-4.854844351e-19	1.209056421e-19	-3.64578793e-19	4.184407982e-19	5.403156980000001e-19	1.156373134e-18	1.536149495e-18	1.709896161e-18	1.920356791e-18	1.63751407e-17
42.0	-4.303771442e-19	1.805237625e-19	-2.498533817e-19	-1.6989298810000003e-20	-1.168000733e-17	1.052296124e-18	1.720544902e-18	1.841960739e-18	2.270692383e-18	2.126477874e-17
44.0	-3.79483318e-19	1.743963762e-19	-2.0508694180000002e-19	-1.1842606039999999e-18	2.289001221e-18	1.01107832e-18	1.774720463e-18	1.957010867e-18	2.858628891e-18	7.615525207e-18
46.0	-3.8183119010000003e-19	1.5281104990000002e-19	-2.290201402e-19	1.232118906e-20	-1.510684909e-18	1.070685671e-18	1.90223472e-18	2.167086935e-18	2.00696402e-18	1.16217173e-17
48.0	-3.8476658720000003e-19	1.114761781e-19	-2.73290409e-19	4.903033732000001e-19	6.064997818e-18	1.0555236669999999e-18	1.999914159e-18	2.234129125e-18	2.1249616979999998e-18	1.7117410959999998e-17
50.0	-4.2493160250000003e-19	6.854005222e-20	-3.563915503e-19	-3.6205359800000003e-19	2.836773356e-18	1.1325396119999999e-18	2.066512078e-18	2.313684236e-18	2.5575224119999998e-18	4.922726352e-18
52.0	-4.654154543e-19	-2.168815614e-21	-4.675842699e-19	-7.035680941e-19	3.312723327e-18	1.230669074e-18	2.13658253e-18	2.449217095e-18	2.8446982119999998e-18	7.015467507e-18
54.0	-4.316310439e-19	-1.0114226560000001e-20	-4.417452705000001e-19	-3.7826742180000003e-19	7.417344041e-18	1.387930268e-18	2.133741712e-18	2.555033874e-18	3.070730842e-18	2.396851536e-17
