# (1)t	(2)P_1	(3)P_2	(4)trace	(5)purity	(6)vonNeumann_entropy	(7)P_1 std	(8)P_2 std	(9)trace std	(10)purity std	(11)vonNeumann_entropy std
0.0	1.0	0.0	1.0	1.0	NaN	0.0	0.0	0.0	0.0	NaN
2.0	0.9815507914	0.01844920863	1.0	0.9992329462	0.003400841611	8.356077639e-6	8.356077639e-6	5.413720892999999e-16	4.671265921e-5	0.0001834815662
4.0	0.928905308	0.07109469198	1.0	0.9897326749	0.03231748771	0.0001126255698	0.0001126255698	6.080941943999999e-16	0.0005977436977	0.001585194805
6.0	0.8493463891	0.1506536109	1.0	0.9582063166	0.1032345347	0.0004807190092	0.0004807190092	5.944274112e-16	0.002206542731	0.004399277008
8.0	0.7530295977	0.2469704023	1.0	0.8991940768	0.2078985254	0.001226334959	0.001226334959	5.476600132e-16	0.004624202454	0.007436759817
10.0	0.6514495698	0.3485504302	1.0	0.8211551579	0.3234470351	0.002413081234	0.002413081234	7.771561171999999e-16	0.006964799897	0.00957255673
12.0	0.5558009707	0.4441990293	1.0	0.7413801415	0.4271378573	0.00401861748	0.00401861748	5.0742037239999995e-16	0.008462961279	0.01043451425
14.0	0.474965044	0.525034956	1.0	0.6747944038	0.5063614521	0.00582590635	0.00582590635	2.8665835229999996e-16	0.008892843891	0.01021879577
16.0	0.4139832225	0.5860167775	1.0	0.627125203	0.5599670306	0.007744977697	0.007744977697	8.158439733e-16	0.008566658179	0.009428471624
18.0	0.3738159109	0.6261840891	1.0	0.5958638047	0.5939320453	0.009841882263	0.009841882263	5.745098729e-16	0.008146718289	0.008737223707
20.0	0.3524511722	0.6475488278	1.0	0.5755375396	0.6155580075	0.01200992829	0.01200992829	7.419967476e-16	0.008188833005	0.008640514081
22.0	0.346519029	0.653480971	1.0	0.5620561245	0.6297127077	0.01394787678	0.01394787678	6.536816174999999e-16	0.008667950742	0.009050591377
24.0	0.352309915	0.647690085	1.0	0.5532180578	0.6389141072	0.01530396925	0.01530396925	7.041144553e-16	0.009088060215	0.00942792959
