# (1)t	(2)P_1	(3)P_2	(4)trace	(5)purity	(6)vonNeumann_entropy	(7)P_1 std	(8)P_2 std	(9)trace std	(10)purity std	(11)vonNeumann_entropy std
0.0	0.0	0.0	0.0	0.0	NaN	0.0	0.0	0.0	0.0	NaN
2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4.0	2.603778936e-22	1.6412516490000002e-22	4.245030585e-22	-1.512809398e-19	9.548155947e-19	7.301571973e-21	4.581867543e-21	6.6733269259999995e-21	6.994458543e-19	2.557404966e-18
6.0	-8.766138627e-21	6.296074475e-22	-8.13653118e-21	8.015577525000001e-20	2.89257726e-19	2.584220064e-20	2.83199665e-20	5.0009376310000006e-20	1.529583987e-18	3.72819286e-18
8.0	-1.3546838430000001e-20	1.52248237e-20	1.6779852709999999e-21	1.759702519e-18	-2.839657266e-18	5.998642322000001e-20	9.093754099000001e-20	1.1874649940000002e-19	2.852950355e-18	4.857894362e-18
10.0	-7.612029116e-21	3.939618907e-20	3.1784159960000003e-20	-1.023412763e-18	1.72744451e-19	1.130426784e-19	1.262203848e-19	1.1947831720000002e-19	4.202333404e-18	6.270780294e-18
12.0	3.3216591450000006e-20	1.2012406890000001e-19	1.5334066030000002e-19	1.878376998e-18	-1.871993812e-18	1.7947408340000002e-19	1.7894657e-19	9.422299375000001e-20	1.182308618e-17	1.20958086e-17
14.0	1.167237235e-19	2.172254059e-19	3.339491294e-19	6.865379052e-19	-2.331398966e-18	3.582062175e-19	2.5596678510000003e-19	2.456209024e-19	7.546780020999999e-18	1.490826179e-17
16.0	2.449558563e-19	3.256350512e-19	5.705909075e-19	-6.005349778e-18	-7.738192955e-19	6.566668822000001e-19	3.926986311e-19	4.848902253e-19	1.067839876e-17	1.2966085239999999e-17
18.0	3.385408946e-19	3.62607341e-19	7.011482355e-19	7.089364730000001e-19	-1.257649041e-17	8.607355305e-19	6.157068822000001e-19	6.994450742e-19	9.734908444e-18	3.934777847e-17
20.0	4.119049582e-19	3.04699484e-19	7.166044421e-19	5.131878351000001e-19	-2.396231626e-18	1.055487578e-18	8.052288636000001e-19	8.663069824000001e-19	4.735751413e-18	3.2408722899999997e-17
22.0	3.9803331530000004e-19	2.266187449e-19	6.246520602e-19	1.381919025e-19	-8.536459992e-19	1.225992451e-18	1.000471026e-18	9.427568525e-19	2.440171382e-18	5.402109272e-18
24.0	2.835417414e-19	1.372604873e-19	4.2080222870000003e-19	-2.328368308e-19	3.908115408e-18	1.3275342779999999e-18	1.0918501129999999e-18	9.981232587e-19	2.380707446e-18	2.0356551289999998e-17
26.0	1.197608669e-19	1.59559711e-19	2.79320578e-19	2.284030436e-18	-1.711144656e-17	1.414112927e-18	1.113916993e-18	1.1458897529999999e-18	3.104254913e-18	4.006711958e-17
28.0	-1.0490703150000001e-19	1.093341311e-19	4.4270996459999996e-21	-4.944496716000001e-19	1.090802886e-18	1.447208818e-18	1.13228235e-18	1.315105046e-18	2.074712991e-18	4.052943456e-18
30.0	-2.476483036e-19	8.087022228e-20	-1.667780814e-19	-2.415244297e-19	2.925359853e-19	1.392596116e-18	1.131434446e-18	1.505524743e-18	1.965632878e-18	1.849824611e-18
32.0	-3.4955778010000003e-19	-2.6118038860000002e-20	-3.7567581890000003e-19	-3.308650682e-18	9.464228349e-19	1.3519151689999999e-18	1.233748599e-18	1.684029108e-18	4.0264855459999996e-18	5.883908686e-18
34.0	-3.99890656e-19	-1.733578644e-19	-5.7324852050000005e-19	-1.49510087e-18	4.847975444e-19	1.367206432e-18	1.2628635829999999e-18	1.771224548e-18	5.092795576e-18	1.3074895559999999e-17
36.0	-4.787016104e-19	-3.621048668e-19	-8.408064772000001e-19	-1.5242755499999999e-18	8.656925702e-18	1.359432311e-18	1.309148173e-18	1.858717509e-18	4.511913873e-18	1.5400380089999998e-17
38.0	-4.94754821e-19	-4.888706811e-19	-9.836255021000001e-19	4.856864036e-19	3.247256534e-18	1.337288641e-18	1.303907794e-18	1.777098292e-18	3.195824271e-18	1.736554996e-17
40.0	-4.039650906e-19	-5.7474188100000005e-19	-9.787069716e-19	-1.365904717e-18	4.360056356e-19	1.282949058e-18	1.322090275e-18	1.797964528e-18	2.600857352e-18	1.304406137e-17
42.0	-2.547181961e-19	-7.313990422e-19	-9.861172383e-19	-1.178832313e-18	3.258414816e-18	1.213755217e-18	1.4108265e-18	1.87924826e-18	2.21003389e-18	1.014867438e-17
44.0	-6.935361775000001e-20	-8.199988331e-19	-8.893524509e-19	-7.092742701e-19	-7.495629998e-18	1.083985072e-18	1.462817648e-18	1.826448488e-18	2.134805106e-18	2.04099996e-17
46.0	1.099641759e-19	-8.3631541450000005e-19	-7.263512386e-19	-7.412547812e-19	-1.516450812e-18	1.056899474e-18	1.499300592e-18	1.7323175329999999e-18	2.025004383e-18	1.1351488479999999e-17
48.0	2.263423305e-19	-6.694665984e-19	-4.431242679e-19	-4.592230287e-19	-4.0623725279999996e-18	1.040090608e-18	1.499603563e-18	1.583003311e-18	2.041984324e-18	7.624416071e-18
50.0	2.55885358e-19	-3.815554859e-19	-1.256701279e-19	-2.9410629760000003e-19	1.285117484e-18	1.111310616e-18	1.3911806e-18	1.323412346e-18	1.502829302e-18	5.3049583449999996e-18
52.0	1.543687642e-19	-1.06930523e-19	4.743824118e-20	7.34872974e-19	-1.347339338e-18	1.286873188e-18	1.158208646e-18	1.1479890119999999e-18	1.65090839e-18	3.665755514e-18
54.0	-1.860850598e-21	9.845078865000001e-20	9.658993806000001e-20	-1.5660917540000001e-19	-3.3125041130000004e-19	1.523867767e-18	1.041811829e-18	1.364175472e-18	2.278406874e-18	1.178432368e-17
