# (1)t	(2)P_1	(3)P_2	(4)trace	(5)purity	(6)vonNeumann_entropy	(7)P_1 std	(8)P_2 std	(9)trace std	(10)purity std	(11)vonNeumann_entropy std
0.0	1.0	0.0	1.0	1.0	NaN	0.0	0.0	0.0	0.0	NaN
2.0	0.9815501104	0.0184498896	1.0	0.9992327806	0.003401966066	3.793177868e-6	3.793177868e-6	9.072484002999999e-16	2.338434687e-5	9.184232601e-5
4.0	0.9289061859	0.07109381415	1.0	0.989710934	0.03238014508	7.698189664e-5	7.698189664e-5	9.354905486999999e-16	0.0003543783596	0.000938413315
6.0	0.8494152246	0.1505847754	1.0	0.9580827483	0.1034935824	0.0004091598434	0.0004091598434	6.783574732e-16	0.001538564384	0.003060269223
8.0	0.7534082112	0.2465917888	1.0	0.8988933364	0.2083978296	0.001179789888	0.001179789888	7.060568437e-16	0.003666626155	0.005883809184
10.0	0.6526759965	0.3473240035	1.0	0.8207510661	0.3240141156	0.00246659661	0.00246659661	8.958551260999999e-16	0.006106582743	0.00838046135
12.0	0.5585930172	0.4414069828	1.0	0.7408023101	0.4278541983	0.004253887357	0.004253887357	4.607388396e-16	0.008135652124	0.01001892099
14.0	0.479650903	0.520349097	1.0	0.6736259323	0.5076978371	0.006164584614	0.006164584614	1.8503717079999998e-16	0.009560096833	0.01096897544
16.0	0.420052435	0.579947565	1.0	0.6250060985	0.5622821655	0.007636762981	0.007636762981	5.733167047e-16	0.01046778362	0.01149817372
18.0	0.3797337539	0.6202662461	1.0	0.5932287084	0.5967385357	0.008592530634	0.008592530634	4.666459889999999e-16	0.01048290368	0.01122195132
20.0	0.3560796402	0.6439203598	1.0	0.5739747034	0.6171992198	0.009323281965	0.009323281965	5.697222070999999e-16	0.009348084219	0.009861016534
22.0	0.3461819525	0.6538180475	1.0	0.5633415244	0.6283748535	0.009827664723	0.009827664723	3.845925373e-16	0.007646665692	0.008001187056
24.0	0.3473541861	0.6526458139	1.0	0.5583216896	0.6336222809	0.009790281704	0.009790281704	6.992348783999999e-16	0.006093540358	0.006351884235
26.0	0.3568459035	0.6431540965	1.0	0.5562742366	0.635758518	0.008953317917	0.008953317917	6.366999717999999e-16	0.004867905816	0.005070103952
28.0	0.3717887893	0.6282112107	1.0	0.554466829	0.6376392186	0.007427332164	0.007427332164	8.150041954e-16	0.004325431725	0.004500488554
30.0	0.3892116362	0.6107883638	1.0	0.5507020519	0.6415443578	0.005981160715	0.005981160715	5.285718846999999e-16	0.004559446086	0.004726561302
32.0	0.4064913658	0.5935086342	1.0	0.544118705	0.6483479731	0.005865161987	0.005865161987	8.981453432e-16	0.004773953922	0.004922329443
34.0	0.4218976579	0.5781023421	1.0	0.5354951708	0.6572130972	0.007038816631	0.007038816631	6.024373812999999e-16	0.004470016194	0.00457951708
36.0	0.4347185989	0.5652814011	1.0	0.5265844365	0.6663175466	0.008200034799	0.008200034799	4.753690987999999e-16	0.003733896664	0.003801099355
38.0	0.4450893611	0.5549106389	1.0	0.518927039	0.6740963427	0.008850031135	0.008850031135	4.768074353e-16	0.002845541887	0.00288142333
40.0	0.4538757679	0.5461242321	1.0	0.513196219	0.6798909911	0.009060891746	0.009060891746	6.42054986e-16	0.002050545473	0.00206860395
42.0	0.4621217043	0.5378782957	1.0	0.5093031821	0.683814187	0.008757101189	0.008757101189	5.060690507999999e-16	0.001557946637	0.001567857799
44.0	0.4704448265	0.5295551735	1.0	0.5068447052	0.6862861271	0.007932700266	0.007932700266	4.1869132229999996e-16	0.001454554111	0.001461406814
46.0	0.4789645356	0.5210354644	1.0	0.5054049515	0.6877317121	0.006785079464	0.006785079464	5.661048867e-16	0.001556667729	0.001562583811
48.0	0.4872278931	0.5127721069	1.0	0.5046441907	0.6884949332	0.005856765851	0.005856765851	4.592501802999999e-16	0.00166362812	0.001669372147
50.0	0.4944219455	0.5055780545	1.0	0.504302271	0.6888378355	0.005726879404	0.005726879404	3.074068357e-16	0.001705692968	0.001711382934
52.0	0.4999408559	0.5000591441	1.0	0.5041323904	0.6890082499	0.006437909468	0.006437909468	3.7192011029999997e-16	0.001653458927	0.001658682438
54.0	0.5035355111	0.4964644889	1.0	0.5039340306	0.6892072899	0.007536761593	0.007536761593	2.4547954709999997e-16	0.001503410059	0.001507669595
56.0	0.5051258197	0.4948741803	1.0	0.5036038311	0.6895385225	0.008535950686	0.008535950686	4.1375569219999997e-16	0.001266250749	0.001269350274
58.0	0.5049682584	0.4950317416	1.0	0.503135839	0.6900077394	0.009237376764	0.009237376764	4.2679055089999995e-16	0.001022572944	0.001024732352
60.0	0.5035112959	0.4964887041	1.0	0.5026199318	0.6905246976	0.009523134685	0.009523134685	4.796711693e-16	0.000924974785	0.0009266923739
62.0	0.5010463829	0.4989536171	1.0	0.5021686214	0.6909767067	0.00937995087	0.00937995087	3.1834998589999996e-16	0.0009669310592	0.0009684715873
64.0	0.4979330876	0.5020669124	1.0	0.501866303	0.6912794099	0.009065650141	0.009065650141	4.0029660419999997e-16	0.001005622922	0.001007018964
66.0	0.4944762836	0.5055237164	1.0	0.5017329308	0.6914129211	0.008715835369	0.008715835369	4.456285185e-16	0.001040574944	0.001041919465
68.0	0.4907676472	0.5092323528	1.0	0.5017205574	0.691425236	0.008238145267	0.008238145267	4.637018209e-16	0.001150757305	0.001152323345
70.0	0.486887904	0.513112096	1.0	0.5017762544	0.6913693834	0.007716887151	0.007716887151	3.774032578e-16	0.001274259244	0.001276216605
72.0	0.4829279941	0.5170720059	1.0	0.5018732671	0.691272237	0.007349378899	0.007349378899	3.268408087e-16	0.001293818314	0.001296010409
74.0	0.4790991684	0.5209008316	1.0	0.5019975384	0.6911478694	0.007261038613	0.007261038613	3.3306690739999997e-16	0.001208238163	0.001210416319
76.0	0.4757651949	0.5242348051	1.0	0.5021241337	0.6910211867	0.007243209675	0.007243209675	3.2262333129999997e-16	0.001082466	0.001084434539
78.0	0.472995885	0.527004115	1.0	0.5022548153	0.6908903807	0.007140841159	0.007140841159	4.1869132229999996e-16	0.0009747677235	0.0009764538228
80.0	0.4704917584	0.5295082416	1.0	0.5024404948	0.6907044411	0.007122663089	0.007122663089	6.170372360999999e-16	0.0009199799598	0.0009215177305
82.0	0.4677958247	0.5322041753	1.0	0.5027376638	0.6904067495	0.007582893333	0.007582893333	4.456285185e-16	0.0009341451052	0.0009357970144
84.0	0.4646180125	0.5353819875	1.0	0.5031639293	0.6899795594	0.00873184477	0.00873184477	5.932743015999999e-16	0.001070728742	0.001072939197
86.0	0.4609791183	0.5390208817	1.0	0.5036955687	0.6894465123	0.01006753621	0.01006753621	5.685189909999999e-16	0.001327960307	0.001331194781
