# (1)t	(2)P_1	(3)P_2	(4)trace	(5)purity	(6)vonNeumann_entropy	(7)P_1 std	(8)P_2 std	(9)trace std	(10)purity std	(11)vonNeumann_entropy std
0.0	0.0	0.0	0.0	0.0	NaN	0.0	0.0	0.0	0.0	NaN
2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4.0	1.556153419e-21	-1.86014302e-21	-3.0398960090000003e-22	1.327308795e-19	2.47388175e-19	4.09630847e-21	4.513500013e-21	3.435066495e-21	5.005621176e-19	1.50453023e-18
6.0	-9.03994805e-23	5.865474578e-21	5.7750750979999995e-21	5.220325347e-19	-6.894471435e-19	2.9263368030000005e-20	1.3064924130000002e-20	3.093196241e-20	2.439328291e-18	4.934186911e-18
8.0	-3.5210894e-20	-1.1058223779999999e-21	-3.6316716380000005e-20	1.334165553e-18	-2.190392455e-18	6.539541143e-20	7.211858355e-20	6.347469595e-20	5.916691984e-18	7.19863101e-18
10.0	-5.987853641e-20	-3.941967416e-21	-6.382050383e-20	-2.509792343e-18	4.39603026e-18	1.7956642630000002e-19	5.694874201e-20	1.5252213590000001e-19	8.53878994e-18	8.065254856999999e-18
12.0	-1.300846539e-19	3.0433747450000004e-20	-9.965090648000001e-20	-1.853243429e-18	2.928707556e-18	3.146733353e-19	1.0089122600000001e-19	2.959854712e-19	8.84502873e-18	1.126074745e-17
14.0	-2.352665923e-19	9.720337879000001e-20	-1.380632135e-19	-2.2013118539999998e-18	2.116631256e-18	4.930880454e-19	2.704994984e-19	5.572261779e-19	3.516288618e-18	1.1290024879999999e-17
16.0	-3.071879574e-19	2.518117439e-19	-5.53762135e-20	5.352613926e-20	-1.834561883e-18	6.173474188e-19	4.462921609e-19	6.865395836000001e-19	8.566018963e-18	1.601166862e-17
18.0	-4.031075445e-19	2.83031434e-19	-1.200761105e-19	-7.851583951e-19	6.722734691e-19	7.738716612e-19	6.952159720000001e-19	8.307974195e-19	6.872898079e-18	1.471809125e-17
20.0	-4.832587013e-19	2.457665961e-19	-2.374921053e-19	8.922358766e-19	-5.35368264e-19	8.786209562000001e-19	8.986521263e-19	1.07958482e-18	3.148695766e-18	1.512434327e-17
22.0	-4.966930964e-19	2.182516222e-19	-2.784414742e-19	-1.364377501e-19	-4.845425327e-18	1.023733408e-18	1.0852993839999999e-18	1.395645475e-18	1.316904005e-18	1.482333485e-17
24.0	-4.611244306e-19	1.816550495e-19	-2.794693812e-19	-1.04672938e-18	-5.821095991e-18	1.220503132e-18	1.182129391e-18	1.793707877e-18	1.456677152e-18	4.051556823e-17
26.0	-4.7957483120000005e-19	1.527169247e-19	-3.268579065e-19	-1.6806503499999999e-18	1.718415687e-19	1.450525954e-18	1.140293673e-18	2.139482928e-18	2.587503519e-18	4.363473057e-18
28.0	-4.927995347e-19	6.478374972000001e-20	-4.28015785e-19	6.247958288e-19	-1.023704383e-18	1.654999694e-18	9.720305833e-19	2.324221001e-18	2.865074392e-18	4.394132136e-18
30.0	-4.901583505e-19	1.389926334e-20	-4.762590872e-19	-1.104688584e-18	5.999938027000001e-19	1.813859553e-18	8.087178833e-19	2.406955894e-18	2.807074651e-18	3.5825559069999996e-18
32.0	-4.77309981e-19	1.623575965e-20	-4.610742214e-19	-1.1986457699999999e-18	8.939879395e-19	1.826476332e-18	6.294277624e-19	2.300685578e-18	3.898783105e-18	3.286599746e-18
34.0	-3.917883789e-19	-5.553477301e-20	-4.473231519e-19	-1.114906343e-18	2.071271524e-18	1.651660917e-18	5.794334844e-19	2.048207459e-18	3.094775089e-18	2.838130013e-18
36.0	-1.730010555e-19	-1.095744142e-19	-2.8257546970000002e-19	-4.831624129e-19	5.497955614e-19	1.410265677e-18	6.857936258000001e-19	1.739492664e-18	2.883850421e-18	5.271151368e-18
38.0	1.259027019e-19	-1.64530887e-19	-3.862818514e-20	-1.056610887e-18	1.632964529e-19	1.327298598e-18	8.602730053000001e-19	1.470137566e-18	2.739686992e-18	4.014729128e-18
40.0	4.894960542000001e-19	-1.564386862e-19	3.33057368e-19	7.640053053000001e-20	-1.472006664e-19	1.516568078e-18	1.00932444e-18	1.311711478e-18	1.556106893e-18	3.295781977e-18
42.0	8.291077812000001e-19	-1.130832193e-19	7.160245619000001e-19	3.047837808e-19	4.333996634e-18	1.856430963e-18	1.1959843939999999e-18	1.5351743599999999e-18	2.148106936e-18	1.7407770699999998e-17
44.0	1.091565518e-18	-6.399498239e-20	1.027570536e-18	1.049718104e-18	-2.7747991769999998e-18	2.097376981e-18	1.2899654339999999e-18	1.745136305e-18	2.292961669e-18	1.3426341419999999e-17
46.0	1.230656205e-18	-1.5312633540000002e-20	1.215343572e-18	1.423370112e-18	-1.2547895399999999e-17	2.216882798e-18	1.358592364e-18	1.92983451e-18	2.421619216e-18	2.752949962e-17
48.0	1.1840937289999999e-18	2.4597577960000003e-20	1.208691307e-18	1.599156853e-18	-3.521661869e-19	2.226233162e-18	1.372043019e-18	1.957170744e-18	2.299372676e-18	1.179033907e-17
50.0	1.061820223e-18	-1.0146401740000001e-19	9.603562051e-19	7.103182648e-19	3.26423323e-18	2.10682406e-18	1.334253234e-18	1.796914522e-18	1.788986917e-18	5.525362083e-18
52.0	9.177524403e-19	-2.584459293e-19	6.59306511e-19	9.142395953e-19	-2.2321011000000002e-20	1.787738094e-18	1.305143328e-18	1.676884085e-18	2.085133859e-18	4.911503089e-18
54.0	7.717304173000001e-19	-5.030998057000001e-19	2.686306115e-19	2.5448734930000003e-19	-2.427585132e-18	1.383858913e-18	1.492194487e-18	1.879116091e-18	2.045488188e-18	7.495963983e-18
