# (1)t	(2)P_1	(3)P_2	(4)trace	(5)purity	(6)vonNeumann_entropy	(7)P_1 std	(8)P_2 std	(9)trace std	(10)purity std	(11)vonNeumann_entropy std
0.0	1.0	0.0	1.0	1.0	NaN	0.0	0.0	0.0	0.0	NaN
2.0	0.9815502009	0.01844979909	1.0	0.9992360252	0.003389085515	5.040786191e-6	5.040786191e-6	7.438402205999999e-16	3.011138704e-5	0.0001185641051
4.0	0.928928455	0.07107154504	1.0	0.9897533745	0.03226717362	6.390724506e-5	6.390724506e-5	6.763355388e-16	0.0003617921951	0.0009618923368
6.0	0.8495530652	0.1504469348	1.0	0.9581710317	0.103320647	0.0003062599678	0.0003062599678	6.588986325e-16	0.001283762222	0.002563776645
8.0	0.7536227501	0.2463772499	1.0	0.8987823968	0.2085879488	0.0008539086261	0.0008539086261	4.087604706e-16	0.0026776852	0.004310242807
10.0	0.6519606351	0.3480393649	1.0	0.8195429444	0.3256921172	0.001727334077	0.001727334077	5.792579691e-16	0.004303646942	0.005911496976
12.0	0.5542965355	0.4457034645	1.0	0.7372398594	0.4322568659	0.002798483866	0.002798483866	2.8903730059999996e-16	0.006015490954	0.007389503815
14.0	0.4682722059	0.5317277941	1.0	0.6675603122	0.5146614931	0.003839665075	0.003839665075	4.1209734609999994e-16	0.007253333982	0.008276869327
16.0	0.3989536909	0.6010463091	1.0	0.6189347638	0.5689592838	0.004657462126	0.004657462126	7.438402205999999e-16	0.007301815831	0.007971772401
18.0	0.3488938386	0.6511061614	1.0	0.5915761873	0.5985340079	0.005195474625	0.005195474625	6.883780670999999e-16	0.006082334457	0.006491292842
20.0	0.3184854182	0.6815145818	1.0	0.5801374582	0.6107105995	0.005686742835	0.005686742835	5.167806939e-16	0.00468766783	0.004962474324
22.0	0.3063380233	0.6936619767	1.0	0.5777144134	0.6132747885	0.006262814358	0.006262814358	6.793661837e-16	0.004696002995	0.004963599832
24.0	0.3100027399	0.6899972601	1.0	0.5781208693	0.6128424657	0.0066888365	0.0066888365	8.216983874999999e-16	0.005382894292	0.005686418407
26.0	0.3265512209	0.6734487791	1.0	0.5767764084	0.6142639641	0.006707421763	0.006707421763	3.845925373e-16	0.005305084612	0.005595760315
28.0	0.3526558077	0.6473441923	1.0	0.5713139151	0.620025502	0.006515309691	0.006515309691	8.835403805999999e-16	0.004631766133	0.004865785874
30.0	0.3848699437	0.6151300563	1.0	0.5615948358	0.6302149949	0.00659066514	0.00659066514	6.671610071e-16	0.004114182545	0.004294810059
32.0	0.4200534667	0.5799465333	1.0	0.5491380465	0.6431655724	0.007100771331	0.007100771331	5.451535468e-16	0.003946023269	0.004087254702
34.0	0.4553349284	0.5446650716	1.0	0.5362371797	0.6564544292	0.007602367766	0.007602367766	3.5496283859999996e-16	0.0037596046	0.003859846334
36.0	0.4882374915	0.5117625085	1.0	0.5250131456	0.6679177216	0.007607727245	0.007607727245	4.2032365329999994e-16	0.003296045996	0.003355275759
38.0	0.5168905207	0.4831094793	1.0	0.516843783	0.6762054341	0.007018962625	0.007018962625	4.637018209e-16	0.00258883158	0.002618342205
40.0	0.5399407349	0.4600592651	1.0	0.5120949302	0.6810018769	0.00616762748	0.00616762748	3.774032578e-16	0.00191575608	0.001930833271
42.0	0.5566380369	0.4433619631	1.0	0.5102052885	0.6829060482	0.005700498934	0.005700498934	4.3943893289999995e-16	0.001653592099	0.001665413639
44.0	0.5668227278	0.4331772722	1.0	0.5100540562	0.6830582263	0.005992319853	0.005992319853	4.2032365329999994e-16	0.001737906566	0.001750449931
46.0	0.5708295109	0.4291704891	1.0	0.5104843026	0.6826248374	0.006781589372	0.006781589372	5.246709318e-16	0.00188091714	0.001894856221
