# (1)t	(2)P_1	(3)P_2	(4)trace	(5)purity	(6)vonNeumann_entropy	(7)P_1 std	(8)P_2 std	(9)trace std	(10)purity std	(11)vonNeumann_entropy std
0.0	0.0	0.0	0.0	0.0	NaN	0.0	0.0	0.0	0.0	NaN
2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4.0	-1.5732548629999999e-21	-6.247357669e-22	-2.19799063e-21	-1.3853933580000003e-20	-7.981075254000001e-20	5.967088446e-21	4.693875224e-21	7.652871569e-21	5.412126426e-19	2.36829111e-18
6.0	-4.434236713e-21	-1.6807098530000002e-20	-2.1241335240000002e-20	-2.511291621e-19	2.130339898e-19	2.7346038440000003e-20	1.1378256760000001e-20	3.449793327e-20	1.393499183e-18	2.375833995e-18
8.0	-7.916206122e-21	-9.359657377e-21	-1.7275863500000002e-20	-1.968091842e-18	3.204300323e-18	6.431055883e-20	6.978270717e-20	1.004719593e-19	3.2322776009999998e-18	5.546111812e-18
10.0	5.87193309e-21	-1.486071711e-20	-8.988784017999999e-21	-1.910768817e-18	2.337799579e-18	1.178074335e-19	1.663882434e-19	1.875887204e-19	5.567018766e-18	8.691349975e-18
12.0	9.510213201e-20	-2.532725436e-21	9.256940657e-20	3.053013431e-18	-1.260599645e-18	2.8919501310000003e-19	2.4273344740000003e-19	3.8751777830000004e-19	6.376827147e-18	8.147586904e-18
14.0	2.292033778e-19	-2.7074895130000004e-20	2.021284827e-19	4.703528015e-18	-4.751675549e-18	4.718348032e-19	3.107971798e-19	6.0134554630000005e-19	1.107394106e-17	1.1216426449999999e-17
16.0	4.412295491e-19	-9.080746306000001e-20	3.50422086e-19	-1.111448391e-18	4.6339697799999996e-18	6.625022631e-19	4.242615695e-19	8.740974088e-19	8.823162203e-18	9.229382055e-18
18.0	6.7330098e-19	-5.751614431e-20	6.157848357e-19	4.285828872e-18	-2.122700181e-18	8.254336666e-19	6.054341101e-19	1.185004383e-18	8.792184099e-18	1.074712285e-17
20.0	8.626406026000001e-19	-5.64564031e-21	8.569949623e-19	-1.770925128e-18	-6.304482198e-18	8.355422151000001e-19	7.284184574000001e-19	1.339299625e-18	5.6961243139999996e-18	3.9548988159999996e-17
22.0	9.97808251e-19	3.392269223e-20	1.031730943e-18	-1.536940541e-18	2.040257053e-18	8.010282741e-19	9.386262713e-19	1.452260197e-18	4.261528364e-18	1.425241428e-17
24.0	1.077542328e-18	6.719885543e-20	1.144741183e-18	9.149006523e-19	-3.403647079e-18	8.490760306000001e-19	1.184926809e-18	1.667580069e-18	2.036806928e-18	8.169122048e-18
26.0	1.040645774e-18	4.0095696930000006e-20	1.0807414709999999e-18	-4.739509516e-19	8.828249722e-18	9.873828008000001e-19	1.305180318e-18	1.771592911e-18	2.694214142e-18	3.206263623e-17
28.0	8.878139152e-19	-2.4934297830000002e-20	8.628796173e-19	3.060194441e-19	1.056511497e-18	1.159739059e-18	1.3307458e-18	1.899067295e-18	3.4075457639999998e-18	3.3411307e-18
30.0	6.4334504200000005e-19	-8.846465488000001e-20	5.548803871e-19	3.118261939e-19	-1.909260394e-18	1.30763395e-18	1.182276335e-18	1.910252392e-18	2.901990061e-18	4.966768462e-18
32.0	3.8372992220000004e-19	-1.5743838880000002e-19	2.262915334e-19	-6.058097168e-19	-1.442220122e-18	1.327779734e-18	9.754096148000001e-19	1.806678284e-18	3.29740782e-18	2.9056183159999997e-17
34.0	1.82303121e-19	-1.394717738e-19	4.283134715e-20	9.443077013000001e-19	1.635880602e-17	1.273891042e-18	8.318735925e-19	1.697027103e-18	3.987122457e-18	2.7072441519999998e-17
36.0	-1.712930483e-20	-5.424929606e-20	-7.137860088e-20	3.4180575790000003e-19	-3.755347172e-18	1.160682256e-18	8.332431471e-19	1.559777734e-18	1.9697194529999998e-18	2.3080463689999998e-17
38.0	-1.32484599e-19	1.070984281e-19	-2.5386170940000002e-20	1.575929998e-19	-2.3532325189999998e-18	1.01877385e-18	7.76446946e-19	1.329240909e-18	2.00011346e-18	1.168939624e-17
40.0	-1.784253804e-19	3.8534219250000004e-19	2.0691681200000002e-19	4.150388131e-19	-7.254915424e-18	8.710113338e-19	8.699633863e-19	1.1837174099999999e-18	1.2379598559999999e-18	3.414540812e-17
42.0	-1.7491482200000001e-19	6.259016297e-19	4.509868077e-19	1.396133594e-18	1.587304207e-18	7.801717958e-19	1.025134072e-18	1.187155791e-18	1.761196636e-18	2.7348126499999997e-17
44.0	-2.089263826e-19	8.800010417e-19	6.710746591e-19	3.8405024860000003e-19	1.493427599e-18	8.071565204e-19	1.14043261e-18	1.199704199e-18	1.356784972e-18	6.674384231e-18
46.0	-2.448319864e-19	1.0040116169999999e-18	7.591796301e-19	9.472204491e-19	-1.0163200229999999e-17	9.589457177e-19	1.296744356e-18	1.285503888e-18	2.000271744e-18	2.358462781e-17
48.0	-3.072657719e-19	1.070796406e-18	7.635306342000001e-19	1.18087965e-18	8.918256535e-18	1.152426416e-18	1.435236904e-18	1.413369364e-18	1.6279141609999999e-18	2.4680563829999997e-17
50.0	-3.454443192e-19	1.062629082e-18	7.171847626000001e-19	5.080358331e-19	1.173737694e-18	1.316443535e-18	1.489791568e-18	1.350400229e-18	1.410644064e-18	1.276105959e-17
52.0	-3.050632051e-19	9.653300323e-19	6.602668273e-19	5.908610249e-19	1.265394598e-17	1.4764897459999999e-18	1.3879850649999999e-18	1.130411834e-18	1.237504844e-18	2.0875317559999998e-17
54.0	-2.492169774e-19	8.0145373e-19	5.522367527e-19	8.241327619000001e-19	-5.6464176059999996e-18	1.5376974189999999e-18	1.140240378e-18	9.876406893e-19	9.302466305e-19	7.076509919e-18
