# (1)t	(2)P_1	(3)P_2	(4)trace	(5)purity	(6)vonNeumann_entropy	(7)P_1 std	(8)P_2 std	(9)trace std	(10)purity std	(11)vonNeumann_entropy std
0.0	1.0	0.0	1.0	1.0	NaN	0.0	0.0	0.0	0.0	NaN
2.0	0.9815487499	0.0184512501	1.0	0.9992464702	0.003347668619	7.283319081e-6	7.28331908e-6	6.783574732e-16	4.179742056e-5	0.0001647860203
4.0	0.9288697233	0.07113027668	1.0	0.9899173835	0.03182812972	7.951517537e-5	7.951517537e-5	8.519751150999999e-16	0.0004850601298	0.001291943179
6.0	0.8492037384	0.1507962616	1.0	0.9588940438	0.1018677558	0.0002993747898	0.0002993747898	2.960594732e-16	0.001678412817	0.003357285394
8.0	0.7527630466	0.2472369534	1.0	0.9006370202	0.2055882585	0.0006864170259	0.0006864170259	6.992348783999999e-16	0.00340578497	0.005486027394
10.0	0.6513923855	0.3486076145	1.0	0.8235065568	0.3202296106	0.001173211431	0.001173211431	5.438959821999999e-16	0.004936097046	0.006788604718
12.0	0.5572359426	0.4427640574	1.0	0.7447829469	0.422957852	0.001826318905	0.001826318905	3.2473891679999996e-16	0.005539156639	0.006836051316
14.0	0.4807143466	0.5192856534	1.0	0.6789575671	0.501592273	0.003081703136	0.003081703136	2.369631986e-16	0.005233343634	0.00602433881
16.0	0.4276874614	0.5723125386	1.0	0.6304741705	0.5562967368	0.004867999375	0.004867999375	4.681111291e-16	0.004895054405	0.005396067997
18.0	0.3975284467	0.6024715533	1.0	0.5954703048	0.5943695364	0.006534823636	0.006534823636	9.01949449e-16	0.005121211281	0.00548772774
20.0	0.3851655908	0.6148344092	1.0	0.5687282175	0.6227404839	0.007701864167	0.007701864167	8.471388880999999e-16	0.005392104522	0.005661795491
22.0	0.3846369281	0.6153630719	1.0	0.5482627997	0.6440671641	0.00839494516	0.00839494516	6.159264571e-16	0.005195285485	0.005376009965
24.0	0.3907225487	0.6092774513	1.0	0.5347003092	0.6580266024	0.008719974836	0.008719974836	5.792579691e-16	0.004725681915	0.004845536241
26.0	0.399358826	0.600641174	1.0	0.5280882408	0.6647837577	0.008801727964	0.008801727964	3.3306690739999997e-16	0.004349829108	0.004440754248
28.0	0.4075363347	0.5924636653	1.0	0.5260443338	0.6668669486	0.008804267896	0.008804267896	5.792579691e-16	0.003926918607	0.004002812341
30.0	0.413290404	0.586709596	1.0	0.5253068547	0.6676188188	0.008678997837	0.008678997837	6.080941943999999e-16	0.003347819672	0.003408767213
32.0	0.415961219	0.584038781	1.0	0.5241926826	0.6687527486	0.008154202106	0.008154202106	5.513983502e-16	0.002952794658	0.003002485625
34.0	0.4162533688	0.5837466312	1.0	0.5228279293	0.6701395838	0.007354710227	0.007354710227	7.060568437e-16	0.002921604781	0.002968405305
36.0	0.4157345149	0.5842654851	1.0	0.5217047229	0.6712795652	0.006757282443	0.006757282443	5.350102691999999e-16	0.003111602898	0.003160258352
38.0	0.4162416385	0.5837583615	1.0	0.5206571821	0.6723416978	0.006698783927	0.006698783927	4.637018209e-16	0.003401060478	0.003451758119
40.0	0.4192880884	0.5807119116	1.0	0.5190650342	0.6739549425	0.007133828824	0.007133828824	4.0708177569999994e-16	0.003635543464	0.003684481259
42.0	0.4255198254	0.5744801746	1.0	0.516524313	0.6765265343	0.007559175842	0.007559175842	6.356235551999999e-16	0.00361849172	0.003659576713
44.0	0.4348406046	0.5651593954	1.0	0.5131689406	0.6799164607	0.007647353423	0.007647353423	5.438959821999999e-16	0.00329115892	0.003320256631
46.0	0.4464798529	0.5535201471	1.0	0.5096010583	0.6835128534	0.007353158209	0.007353158209	3.16191656e-16	0.002739186592	0.002756787705
48.0	0.4589863845	0.5410136155	1.0	0.5065359725	0.6865954991	0.006756801635	0.006756801635	4.3473891609999996e-16	0.002138297713	0.002148213917
50.0	0.4708122339	0.5291877661	1.0	0.5043823719	0.6887574929	0.006349336158	0.006349336158	5.709228875e-16	0.001713881534	0.00171964484
52.0	0.4808290537	0.5191709463	1.0	0.5031093867	0.6900338917	0.00671502268	0.00671502268	3.5108334689999995e-16	0.001490067535	0.00149338476
54.0	0.4884100129	0.5115899871	1.0	0.5024167254	0.6907279697	0.007710213412	0.007710213412	3.5108334689999995e-16	0.00133159905	0.001333586971
56.0	0.4935105155	0.5064894845	1.0	0.5020049629	0.6911404681	0.008840711216	0.008840711216	3.4912743559999995e-16	0.001162855592	0.001164239329
58.0	0.4964628157	0.5035371843	1.0	0.5017188405	0.6914270644	0.009773265335	0.009773265335	2.9139682789999995e-16	0.0009805389596	0.0009815771374
60.0	0.4976121688	0.5023878312	1.0	0.5015064649	0.6916397619	0.01026952682	0.01026952682	2.744544772e-16	0.0008076380447	0.0008083860282
62.0	0.4973980691	0.5026019309	1.0	0.5013440972	0.6918023372	0.01015666879	0.01015666879	4.3943893289999995e-16	0.0006901254305	0.0006906883641
64.0	0.4964458319	0.5035541681	1.0	0.5012091278	0.6919374308	0.00952109211	0.00952109211	2.8425949549999996e-16	0.0006677203234	0.0006682602867
66.0	0.4953040107	0.5046959893	1.0	0.5010859236	0.692060722	0.008623223861	0.008623223861	5.207407572e-16	0.0006861544887	0.0006867011585
68.0	0.4941842793	0.5058157207	1.0	0.5009762856	0.6921704466	0.007591781031	0.007591781031	3.625973215e-16	0.000658272715	0.0006587650747
70.0	0.4929505468	0.5070494532	1.0	0.5008983241	0.6922484843	0.006529977322	0.006529977322	4.2518304779999994e-16	0.0005852718143	0.0005856897657
72.0	0.4912748746	0.5087251254	1.0	0.5008766995	0.6922701425	0.005612931659	0.005612931659	4.0029660419999997e-16	0.0005229072034	0.0005232657885
74.0	0.4890352632	0.5109647368	1.0	0.500928969	0.6922178525	0.00535263644	0.00535263644	4.637018209e-16	0.0004863546171	0.0004866577419
76.0	0.4863149933	0.5136850067	1.0	0.5010545232	0.6920922165	0.006297204105	0.006297204105	2.0934566119999998e-16	0.0004819824131	0.0004822493599
78.0	0.483002244	0.516997756	1.0	0.5012616292	0.6918849242	0.007972037052	0.007972037052	3.4319282579999996e-16	0.0005650436845	0.000565420467
80.0	0.4788689293	0.5211310707	1.0	0.5015700023	0.6915761968	0.009329081386	0.009329081386	2.694181874e-16	0.0007263209634	0.0007270615675
82.0	0.4738488048	0.5261511952	1.0	0.5019992645	0.6911463387	0.009697580268	0.009697580268	5.047141111e-16	0.0008976609108	0.0008988926999
84.0	0.4681193935	0.5318806065	1.0	0.5025854902	0.6905591255	0.009134862264	0.009134862264	7.336437975999999e-16	0.001048721505	0.001050530538
86.0	0.4622881102	0.5377118898	1.0	0.5033215144	0.6898215909	0.008058018958	0.008058018958	3.16191656e-16	0.001132782026	0.001135244344
88.0	0.4572170162	0.5427829838	1.0	0.5040919478	0.6890492557	0.006886382282	0.006886382282	4.651762342e-16	0.001116155808	0.001119127228
90.0	0.4536040943	0.5463959057	1.0	0.5047145526	0.688424845	0.006000725275	0.006000725275	6.588986325e-16	0.001067875517	0.001071153316
92.0	0.451948896	0.548051104	1.0	0.5050085128	0.6881298984	0.005522582362	0.005522582362	4.592501802999999e-16	0.001109737806	0.001113527162
94.0	0.4524685887	0.5475314113	1.0	0.5048903639	0.6882483108	0.005612583118	0.005612583118	5.898014465999999e-16	0.001286252158	0.001290947521
96.0	0.4550628333	0.5449371667	1.0	0.5044062224	0.6887337509	0.006570760662	0.006570760662	6.058378074999999e-16	0.001532157277	0.001537521822
98.0	0.4594704937	0.5405295063	1.0	0.5036744203	0.68946737	0.008050061291	0.008050061291	4.1540741809999996e-16	0.001700698457	0.001705820408
100.0	0.4651829398	0.5348170602	1.0	0.5028626371	0.6902809776	0.009416804095	0.009416804095	4.853479487999999e-16	0.001654643842	0.001658570307
102.0	0.4712040833	0.5287959167	1.0	0.5021629882	0.6909820464	0.01031131152	0.01031131152	3.774032578e-16	0.001390792298	0.001393248204
104.0	0.4764806611	0.5235193389	1.0	0.5016843752	0.6914615327	0.01071566323	0.01071566323	4.532466518e-16	0.001039627827	0.00104094621
106.0	0.4803273035	0.5196726965	1.0	0.5014196783	0.6917266524	0.01059944735	0.01059944735	6.069670495e-16	0.0007674133743	0.0007681022783
108.0	0.4824751895	0.5175248105	1.0	0.5013012253	0.6918452438	0.009866906991	0.009866906991	3.4119168439999996e-16	0.0006977150627	0.0006982780608
110.0	0.483117099	0.516882901	1.0	0.5012540781	0.6918924125	0.008657353344	0.008657353344	5.207407572e-16	0.0007406765711	0.0007413518416
112.0	0.4827140039	0.5172859961	1.0	0.5012320856	0.6919144318	0.007284478065	0.007284478065	3.7007434149999995e-16	0.0007213908757	0.0007220946446
114.0	0.4816021962	0.5183978038	1.0	0.5012366889	0.6919098731	0.006172502965	0.006172502965	2.5099663029999996e-16	0.0005997118077	0.000600309978
116.0	0.4801129516	0.5198870484	1.0	0.5012805028	0.6918660649	0.005992701916	0.005992701916	4.2032365329999994e-16	0.0004673201482	0.0004677754557
118.0	0.4786127298	0.5213872702	1.0	0.5013599453	0.6917865399	0.006924507016	0.006924507016	3.6448095659999997e-16	0.0005099441298	0.000510421512
120.0	0.4772508959	0.5227491041	1.0	0.5014486412	0.691697699	0.008022071182	0.008022071182	6.258525004e-16	0.0006820002305	0.0006826906891
122.0	0.4760663155	0.5239336845	1.0	0.5015096074	0.6916366203	0.008450168939	0.008450168939	3.0064981629999997e-16	0.0007989333157	0.0007998045033
124.0	0.4751024563	0.5248975437	1.0	0.501532282	0.691613913	0.008219126643	0.008219126643	5.233641528999999e-16	0.000818977777	0.0008198879725
126.0	0.4743942824	0.5256057176	1.0	0.501534632	0.691611583	0.007642642458	0.007642642458	3.2473891679999996e-16	0.0007722470134	0.0007730560106
128.0	0.474132334	0.525867666	1.0	0.5015276518	0.6916185948	0.007168499118	0.007168499118	6.441845274e-16	0.0007178288276	0.0007185206385
130.0	0.4745904345	0.5254095655	1.0	0.5015022962	0.6916439609	0.007341652679	0.007341652679	4.637018209e-16	0.0007520324489	0.0007528015606
132.0	0.4757919939	0.5242080061	1.0	0.5014540256	0.6916922203	0.008203534763	0.008203534763	6.280369834999999e-16	0.0008721960124	0.0008731433445
134.0	0.4775611485	0.5224388515	1.0	0.5013847672	0.6917614955	0.00935694102	0.00935694102	6.103422398e-16	0.000960677037	0.0009616894904
136.0	0.4794479699	0.5205520301	1.0	0.5013054737	0.6918408678	0.01031154578	0.01031154578	6.366999717999999e-16	0.0009477237564	0.0009486620624
138.0	0.4806217753	0.5193782247	1.0	0.5012564906	0.691889933	0.010931566	0.010931566	4.2032365329999994e-16	0.000874514383	0.000875326716
140.0	0.4803642277	0.5196357723	1.0	0.5012830526	0.6918633747	0.01128342347	0.01128342347	3.16191656e-16	0.000823156606	0.0008238884073
142.0	0.4782874827	0.5217125173	1.0	0.5014350678	0.6917112142	0.01131522113	0.01131522113	5.501550602999999e-16	0.0008378622948	0.0008386136826
144.0	0.474164718	0.525835282	1.0	0.5017922032	0.691353645	0.01093462294	0.01093462294	7.548065156e-16	0.0009292798509	0.0009302335987
146.0	0.46823234	0.53176766	1.0	0.5024392328	0.6907056232	0.01008434332	0.01008434332	6.843874358999999e-16	0.001057738508	0.001059205533
148.0	0.4614338518	0.5385661482	1.0	0.5033670424	0.6897759589	0.008802834492	0.008802834492	6.823833689e-16	0.001135892148	0.001138149111
150.0	0.4550545735	0.5449454265	1.0	0.5044080954	0.6887322169	0.007230638986	0.007230638986	8.780983730999999e-16	0.001102410094	0.001105367178
152.0	0.450301809	0.549698191	1.0	0.5052865224	0.6878510068	0.005711679383	0.005711679383	4.881615837e-16	0.0009873841627	0.0009905796759
154.0	0.4480669708	0.5519330292	1.0	0.5057339609	0.6874019398	0.00482049733	0.00482049733	7.137735410999999e-16	0.0009422076044	0.0009455229264
156.0	0.4487173383	0.5512826617	1.0	0.5056224344	0.6875137719	0.005290912641	0.005290912641	6.069670495e-16	0.00113184673	0.00113585117
158.0	0.4522387019	0.5477612981	1.0	0.5049817313	0.6881565164	0.006963798015	0.006963798015	7.099256773e-16	0.001437455432	0.001442037856
160.0	0.4582317168	0.5417682832	1.0	0.5039903483	0.689150705	0.009032455483	0.009032455483	5.780746011999999e-16	0.00162799936	0.001632224011
162.0	0.4658108206	0.5341891794	1.0	0.5029225024	0.690221056	0.01088506539	0.01088506539	4.637018209e-16	0.001594872499	0.001598010769
164.0	0.473947086	0.526052914	1.0	0.5020075772	0.6911377035	0.01216322328	0.01216322328	4.81096644e-16	0.001355841299	0.001357764509
166.0	0.4816215924	0.5183784076	1.0	0.5013623886	0.6917838608	0.01272846536	0.01272846536	4.853479487999999e-16	0.001017732222	0.001018709598
168.0	0.4876385362	0.5123614638	1.0	0.5009850696	0.6921616228	0.01254184296	0.01254184296	5.285718846999999e-16	0.0007393797728	0.0007398704243
170.0	0.4909133442	0.5090866558	1.0	0.5007869443	0.6923599177	0.01178141724	0.01178141724	3.2262333129999997e-16	0.0006104982418	0.0006108645597
172.0	0.4908522169	0.5091477831	1.0	0.5006952023	0.692451722	0.01074862626	0.01074862626	5.181040782e-16	0.0005626049656	0.0005629029612
174.0	0.487385637	0.512614363	1.0	0.5007368012	0.6924100861	0.009631464997	0.009631464997	6.463070521999999e-16	0.0006110658385	0.000611398363
176.0	0.4811202995	0.5188797005	1.0	0.5010335918	0.6921130605	0.008530574329	0.008530574329	7.629277998e-16	0.0007559356935	0.0007565379038
178.0	0.4732915628	0.5267084372	1.0	0.5016739406	0.6914720754	0.007432519541	0.007432519541	4.087604706e-16	0.0008721940822	0.0008732807958
180.0	0.465405661	0.534594339	1.0	0.5025925293	0.6905521487	0.00645411592	0.00645411592	3.8636895569999996e-16	0.0009233328277	0.0009250569695
182.0	0.4590401795	0.5409598205	1.0	0.5035345943	0.689608122	0.00590843691	0.00590843691	5.401057200999999e-16	0.0009754868952	0.0009779929392
184.0	0.4553033104	0.5446966896	1.0	0.5041789416	0.688962072	0.005822305299	0.005822305299	7.327098140999999e-16	0.001037330967	0.001040495666
186.0	0.4543563506	0.5456436494	1.0	0.5043689025	0.6887715705	0.005772456813	0.005772456813	4.577566798999999e-16	0.00103142123	0.001034697583
188.0	0.4556720264	0.5443279736	1.0	0.5041644136	0.6889766951	0.005452278318	0.005452278318	7.147322702999999e-16	0.0009468780974	0.0009496899824
190.0	0.45842889	0.54157111	1.0	0.5037524538	0.6893897722	0.005260538638	0.005260538638	5.285718846999999e-16	0.0009027939518	0.000905071691
192.0	0.4617202569	0.5382797431	1.0	0.5033396215	0.6898035139	0.006076535039	0.006076535039	4.81096644e-16	0.00102453121	0.001026782779
194.0	0.4648727189	0.5351272811	1.0	0.5030340293	0.690109615	0.007877785275	0.007877785275	4.2839202199999997e-16	0.001234186606	0.001236713923
196.0	0.467610443	0.532389557	1.0	0.5028195652	0.6903243779	0.009681622235	0.009681622235	7.548065156e-16	0.001387358555	0.001390060005
198.0	0.4697651232	0.5302348768	1.0	0.5026541553	0.6904900521	0.01083277149	0.01083277149	3.933944212e-16	0.001432815327	0.001435427557
200.0	0.4714366787	0.5285633213	1.0	0.5024938854	0.6906506316	0.01132542441	0.01132542441	4.592501802999999e-16	0.001393804994	0.001396081653
