# (1)t	(2)P_1	(3)P_2	(4)trace	(5)purity	(6)vonNeumann_entropy	(7)P_1 std	(8)P_2 std	(9)trace std	(10)purity std	(11)vonNeumann_entropy std
0.0	1.011063413	-0.005426645657	1.005636767	1.028791995	-0.04851179121	0.01304905708	0.01341109948	0.009377859142	0.02532308156	0.06486012873
2.0	0.9958836432	0.009753123983	1.005636767	1.027924646	-0.04646034494	0.01308111977	0.0173021472	0.009377859142	0.02597992815	0.06721387075
4.0	0.945470783	0.06016598414	1.005636767	1.020506299	-0.02865698515	0.0194031839	0.02456574687	0.009377859142	0.02643161598	0.07437630566
6.0	0.8665467531	0.139090014	1.005636767	0.9927637358	0.03309890313	0.02575484934	0.03058222479	0.009377859142	0.03025315133	0.08557661117
8.0	0.7695023887	0.2361343785	1.005636767	0.933808959	0.1565267898	0.03069005683	0.03459799366	0.009377859142	0.03613501663	0.07639095121
10.0	0.6662097029	0.3394270642	1.005636767	0.8515361079	0.2866606877	0.03361532026	0.0363271484	0.009377859142	0.04033761045	0.069502735
12.0	0.5680318067	0.4376049604	1.005636767	0.7679858584	0.3993151649	0.03473673297	0.03617161901	0.009377859142	0.03680707925	0.05588355485
14.0	0.4832386536	0.5223981136	1.005636767	0.7136695873	0.4659744055	0.03414379706	0.03443985612	0.009377859142	0.0321366691	0.04640738985
16.0	0.4161705211	0.589466246	1.005636767	0.6944142515	0.4886326418	0.031621496	0.03110342446	0.009377859142	0.03190828765	0.04404058425
18.0	0.368141573	0.6374951941	1.005636767	0.6996836641	0.4824629415	0.02840759494	0.02751345759	0.009377859142	0.03403241987	0.04584959819
20.0	0.3377194893	0.6679172779	1.005636767	0.7246097367	0.4530047897	0.02639199908	0.02537985434	0.009377859142	0.03540610233	0.04796492096
22.0	0.3220952033	0.6835415639	1.005636767	0.7529173858	0.4187153689	0.0262719162	0.02510929335	0.009377859142	0.03308545135	0.04657520549
24.0	0.3180789006	0.6875578666	1.005636767	0.7777993257	0.3876840413	0.02690911446	0.02539387583	0.009377859142	0.03079937119	0.04465782228
26.0	0.3222402799	0.6833964872	1.005636767	0.7971344977	0.3627042176	0.02628191976	0.02409229564	0.009377859142	0.03163441937	0.04660556477
28.0	0.3314808493	0.6741559178	1.005636767	0.8063286969	0.3506809914	0.02516212168	0.02217987125	0.009377859142	0.02974189034	0.04506372866
30.0	0.3437783959	0.6618583713	1.005636767	0.808038887	0.3483976001	0.02574462899	0.02231763592	0.009377859142	0.03107246585	0.04614227031
32.0	0.3578042336	0.6478325335	1.005636767	0.8033668839	0.3544067743	0.02921655796	0.02595754342	0.009377859142	0.03390940514	0.04967075862
34.0	0.3726180463	0.6330187209	1.005636767	0.7972016388	0.3626140923	0.03447372246	0.03174304127	0.009377859142	0.03497178013	0.04890244326
36.0	0.3880876462	0.617549121	1.005636767	0.7954175397	0.3650017009	0.0395108653	0.03717750261	0.009377859142	0.03531286556	0.04840323987
38.0	0.4039564878	0.6016802793	1.005636767	0.7938639841	0.3670307523	0.04290502807	0.04071971524	0.009377859142	0.03507273074	0.0480255566
40.0	0.4200065106	0.5856302565	1.005636767	0.7944782056	0.3660876294	0.04323878156	0.04114837388	0.009377859142	0.03620385476	0.05013087421
