# (1)t	# (2) d/dt P[3<--1](t)	# (3) d/dt P[3<--2](t)	# (4) d/dt P[3<--3](t)	# (5) d/dt P[3<--4](t)	# (6) d/dt P[3<--5](t)	# (7) d/dt P[3<--6](t)	# (8) d/dt P[3<--7](t)
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.0	5.187051754e-8	3.36411803e-10	0.0	-3.379871008e-11	1.433034096e-12	-1.98970473e-11	7.01854532e-12
2.0	1.03451189e-7	2.685926173e-9	0.0	-2.700797671e-10	1.145718661e-11	-1.586551576e-10	5.601242506e-11
3.0	1.544805109e-7	9.036385694e-9	0.0	-9.099578053e-10	3.863581128e-11	-5.32649931e-10	1.883173238e-10
4.0	2.047120599e-7	2.132774334e-8	0.0	-2.152092903e-9	9.148806411e-11	-1.253505508e-9	4.440578106e-10
5.0	2.53915218e-7	4.143112714e-8	0.0	-4.191737004e-9	1.784764696e-10	-2.426001386e-9	8.61621599e-10
6.0	3.018763749e-7	7.11295066e-8	0.0	-7.219869443e-9	3.079955795e-10	-4.14616139e-9	1.477177588e-9
7.0	3.484001675e-7	1.121000639e-7	0.0	-1.142240565e-8	4.883601689e-10	-6.49954687e-9	2.324240854e-9
8.0	3.933105978e-7	1.658983803e-7	0.0	-1.697946784e-8	7.277917445e-10	-9.559774751e-9	3.433287978e-9
9.0	4.364519655e-7	2.339445174e-7	0.0	-2.406470797e-8	1.034402355e-9	-1.338727591e-8	4.831425229e-9
10.0	4.776895904e-7	3.17511069e-7	0.0	-3.284467514e-8	1.416174888e-9	-1.802830685e-8	6.542111927e-9
11.0	5.169103152e-7	4.177132174e-7	0.0	-4.347821992e-8	1.880939226e-9	-2.351422137e-8	8.584940065e-9
12.0	5.540227904e-7	5.355008044e-7	0.0	-5.611593014e-8	2.436343865e-9	-2.986100378e-8	1.09754705e-8
13.0	5.889575468e-7	6.716523543e-7	0.0	-7.089958875e-8	3.089822539e-9	-3.706905907e-8	1.372512433e-8
14.0	6.216668526e-7	8.267712121e-7	0.0	-8.796165897e-8	3.848555969e-9	-4.51232716e-8	1.684113305e-8
15.0	6.521244013e-7	1.001283391e-6	0.0	-1.074247885e-7	4.71942958e-9	-5.399327862e-8	2.032653614e-8
16.0	6.803247786e-7	1.195437435e-6	0.0	-1.294013142e-7	5.708984391e-9	-6.363401898e-8	2.418023692e-8
17.0	7.06282824e-7	1.40930591e-6	0.0	-1.53992826e-7	6.823368493e-9	-7.398643079e-8	2.839709777e-8
18.0	7.300327416e-7	1.642788781e-6	0.0	-1.812896829e-7	8.068277793e-9	-8.497845076e-8	3.2968095e-8
19.0	7.516272203e-7	1.895617728e-6	0.0	-2.113706248e-7	9.448903423e-9	-9.652602462e-8	3.788048862e-8
20.0	7.711362582e-7	2.167362865e-6	0.0	-2.443023417e-7	1.096986771e-8	-1.085344721e-7	4.311806525e-8
21.0	7.886460425e-7	2.457439667e-6	0.0	-2.801391136e-7	1.263516688e-8	-1.20899791e-7	4.866137775e-8
22.0	8.042576323e-7	2.765117826e-6	0.0	-3.189224573e-7	1.444810904e-8	-1.335101926e-7	5.448803836e-8
23.0	8.180856226e-7	3.089530697e-6	0.0	-3.606808185e-7	1.641125543e-8	-1.462476522e-7	6.057302239e-8
24.0	8.302567347e-7	3.429685736e-6	0.0	-4.054293023e-7	1.852636309e-8	-1.589895318e-7	6.688899482e-8
25.0	8.409083675e-7	3.784475629e-6	0.0	-4.531694505e-7	2.079433087e-8	-1.716102285e-7	7.340665032e-8
26.0	8.501871241e-7	4.152689983e-6	0.0	-5.038890709e-7	2.321514957e-8	-1.839828255e-7	8.009506241e-8
27.0	8.582473248e-7	4.533027453e-6	0.0	-5.575621233e-7	2.578785734e-8	-1.959807245e-7	8.69220376e-8
28.0	8.652495226e-7	4.924108147e-6	0.0	-6.141486681e-7	2.851050117e-8	-2.074792371e-7	9.385446989e-8
29.0	8.713590323e-7	5.324486212e-6	0.0	-6.735948828e-7	3.138010522e-8	-2.183571153e-7	1.008586918e-7
30.0	8.767444839e-7	5.732662454e-6	0.0	-7.358331487e-7	3.439264705e-8	-2.284980048e-7	1.079008179e-7
31.0	8.815764141e-7	6.147096882e-6	0.0	-8.007822139e-7	3.754304205e-8	-2.377918003e-7	1.149470779e-7
32.0	8.860259039e-7	6.566221049e-6	0.0	-8.68347434e-7	4.08251369e-8	-2.461358918e-7	1.219641338e-7
33.0	8.902632704e-7	6.988450135e-6	0.0	-9.38421093e-7	4.423171225e-8	-2.534362895e-7	1.289193822e-7
34.0	8.944568219e-7	7.412194634e-6	0.0	-1.010882806e-6	4.775449505e-8	-2.596086171e-7	1.357812348e-7
35.0	8.98771682e-7	7.835871588e-6	0.0	-1.085600002e-6	5.138418061e-8	-2.645789648e-7	1.425193784e-7
36.0	9.033686887e-7	8.257915298e-6	0.0	-1.162428494e-6	5.511046446e-8	-2.682845976e-7	1.491050111e-7
37.0	9.084033739e-7	8.676787433e-6	0.0	-1.241213119e-6	5.892208392e-8	-2.706745155e-7	1.555110525e-7
38.0	9.140250267e-7	9.090986496e-6	0.0	-1.321788467e-6	6.28068691e-8	-2.71709862e-7	1.617123289e-7
39.0	9.203758432e-7	9.499056589e-6	0.0	-1.403979674e-6	6.675180294e-8	-2.713641843e-7	1.676857305e-7
40.0	9.275901646e-7	9.899595463e-6	0.0	-1.487603291e-6	7.074308993e-8	-2.696235469e-7	1.734103423e-7
41.0	9.357938051e-7	1.029126181e-5	0.0	-1.572468215e-6	7.47662328e-8	-2.664865016e-7	1.788675471e-7
42.0	9.451034692e-7	1.067278179e-5	0.0	-1.658376677e-6	7.880611661e-8	-2.619639213e-7	1.840411019e-7
43.0	9.556262597e-7	1.104295476e-5	0.0	-1.745125288e-6	8.284709944e-8	-2.560787026e-7	1.889171877e-7
44.0	9.674592727e-7	1.140065823e-5	0.0	-1.832506125e-6	8.687310883e-8	-2.488653478e-7	1.934844332e-7
45.0	9.806892807e-7	1.174485206e-5	0.0	-1.92030785e-6	9.086774291e-8	-2.40369435e-7	1.97733915e-7
46.0	9.953924992e-7	1.207458182e-5	0.0	-2.008316867e-6	9.481437561e-8	-2.306469856e-7	2.016591338e-7
47.0	1.011634434e-6	1.238898149e-5	0.0	-2.096318489e-6	9.869626455e-8	-2.197637425e-7	2.052559685e-7
48.0	1.02946981e-6	1.268727536e-5	0.0	-2.184098124e-6	1.024966609e-7	-2.077943683e-7	2.085226111e-7
49.0	1.048942567e-6	1.296877923e-5	0.0	-2.271442457e-6	1.061989201e-7	-1.94821577e-7	2.114594824e-7
50.0	1.070085937e-6	1.3232901e-5	0.0	-2.358140625e-6	1.097866122e-7	-1.809352102e-7	2.140691313e-7
51.0	1.092922576e-6	1.347914054e-5	0.0	-2.443985382e-6	1.132436311e-7	-1.662312722e-7	2.163561197e-7
52.0	1.117464768e-6	1.3707089e-5	0.0	-2.528774227e-6	1.165543015e-7	-1.508109334e-7	2.183268941e-7
53.0	1.143714676e-6	1.391642756e-5	0.0	-2.61231051e-6	1.197034825e-7	-1.347795159e-7	2.199896475e-7
54.0	1.171664651e-6	1.410692566e-5	0.0	-2.694404486e-6	1.226766676e-7	-1.182454725e-7	2.213541714e-7
55.0	1.201297587e-6	1.427843873e-5	0.0	-2.774874325e-6	1.254600789e-7	-1.013193687e-7	2.224317026e-7
56.0	1.232587317e-6	1.443090552e-5	0.0	-2.853547061e-6	1.280407566e-7	-8.41128798e-8	2.232347634e-7
57.0	1.265499046e-6	1.456434504e-5	0.0	-2.930259482e-6	1.304066411e-7	-6.673781248e-8	2.237770005e-7
58.0	1.299989816e-6	1.467885313e-5	0.0	-3.004858938e-6	1.325466481e-7	-4.930516035e-8	2.240730219e-7
59.0	1.336008999e-6	1.477459875e-5	0.0	-3.077204087e-6	1.34450737e-7	-3.192419992e-8	2.241382344e-7
60.0	1.373498811e-6	1.485182006e-5	0.0	-3.147165551e-6	1.361099695e-7	-1.470163647e-8	2.239886837e-7
61.0	1.412394847e-6	1.491082018e-5	0.0	-3.21462649e-6	1.375165614e-7	2.259195251e-9	2.236408976e-7
62.0	1.452626625e-6	1.495196293e-5	0.0	-3.279483089e-6	1.386639239e-7	1.885906929e-8	2.231117342e-7
63.0	1.494118142e-6	1.497566832e-5	0.0	-3.341644955e-6	1.395466975e-7	3.500354113e-8	2.224182367e-7
64.0	1.536788435e-6	1.498240798e-5	0.0	-3.401035422e-6	1.401607754e-7	5.060355071e-8	2.215774945e-7
65.0	1.580552142e-6	1.49727006e-5	0.0	-3.457591761e-6	1.405033182e-7	6.557595384e-8	2.206065136e-7
66.0	1.625320061e-6	1.49471073e-5	0.0	-3.511265305e-6	1.4057276e-7	7.984397977e-8	2.195220949e-7
67.0	1.670999706e-6	1.490622697e-5	0.0	-3.562021472e-6	1.403688047e-7	9.333761396e-8	2.183407225e-7
68.0	1.71749585e-6	1.485069176e-5	0.0	-3.609839711e-6	1.39892414e-7	1.059939059e-7	2.170784617e-7
69.0	1.764711061e-6	1.478116256e-5	0.0	-3.654713349e-6	1.391457871e-7	1.177572023e-7	2.157508678e-7
70.0	1.812546221e-6	1.469832463e-5	0.0	-3.696649358e-6	1.381323318e-7	1.285793077e-7	2.143729053e-7
71.0	1.860901028e-6	1.460288328e-5	0.0	-3.735668047e-6	1.368566284e-7	1.384195734e-7	2.129588776e-7
72.0	1.909674484e-6	1.449555976e-5	0.0	-3.771802663e-6	1.353243862e-7	1.472449189e-7	2.115223678e-7
73.0	1.958765357e-6	1.437708729e-5	0.0	-3.805098936e-6	1.335423937e-7	1.55029788e-7	2.100761899e-7
74.0	2.008072629e-6	1.424820723e-5	0.0	-3.835614547e-6	1.31518462e-7	1.617560429e-7	2.086323498e-7
75.0	2.057495912e-6	1.410966547e-5	0.0	-3.863418538e-6	1.292613638e-7	1.674128019e-7	2.072020171e-7
76.0	2.106935847e-6	1.3962209e-5	0.0	-3.888590663e-6	1.267807662e-7	1.719962234e-7	2.057955062e-7
77.0	2.156294476e-6	1.380658269e-5	0.0	-3.911220695e-6	1.240871611e-7	1.755092421e-7	2.044222663e-7
78.0	2.205475591e-6	1.364352628e-5	0.0	-3.931407688e-6	1.211917902e-7	1.779612619e-7	2.0309088e-7
79.0	2.254385049e-6	1.347377157e-5	0.0	-3.949259198e-6	1.181065686e-7	1.79367811e-7	2.018090701e-7
80.0	2.302931075e-6	1.329803988e-5	0.0	-3.964890482e-6	1.148440057e-7	1.797501639e-7	2.005837135e-7
81.0	2.351024525e-6	1.311703964e-5	0.0	-3.978423663e-6	1.114171246e-7	1.791349353e-7	1.99420862e-7
82.0	2.398579133e-6	1.293146429e-5	0.0	-3.989986891e-6	1.078393805e-7	1.775536518e-7	1.983257683e-7
83.0	2.445511729e-6	1.274199032e-5	0.0	-3.999713477e-6	1.041245795e-7	1.750423062e-7	1.973029184e-7
84.0	2.491742429e-6	1.254927558e-5	0.0	-4.007741041e-6	1.002867972e-7	1.716408994e-7	1.963560675e-7
85.0	2.537194807e-6	1.235395775e-5	0.0	-4.014210645e-6	9.634029846e-8	1.673929746e-7	1.954882801e-7
86.0	2.58179604e-6	1.215665303e-5	0.0	-4.019265945e-6	9.229945911e-8	1.623451482e-7	1.947019733e-7
87.0	2.625477027e-6	1.195795505e-5	0.0	-4.023052349e-6	8.817868908e-8	1.56546642e-7	1.939989621e-7
88.0	2.668172493e-6	1.175843391e-5	0.0	-4.025716196e-6	8.399235842e-8	1.50048821e-7	1.933805067e-7
89.0	2.709821061e-6	1.155863544e-5	0.0	-4.027403958e-6	7.975472629e-8	1.429047403e-7	1.928473608e-7
90.0	2.750365317e-6	1.135908059e-5	0.0	-4.028261471e-6	7.547987323e-8	1.351687039e-7	1.923998207e-7
91.0	2.789751846e-6	1.116026504e-5	0.0	-4.028433191e-6	7.118163716e-8	1.268958405e-7	1.920377736e-7
