#t	#1	#2	#3	#4	#5	#6	#7
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.0	2.4692988499566993e-6	-5.579699327367475e-10	1.3972850918672143e-9	0.0	2.0729574165989439e-10	4.5768125328008236e-10	3.093516299466006e-10
2.0	4.934587260410898e-6	-4.456220654100482e-9	1.1165468480579048e-8	0.0	1.6538251008017367e-9	3.656037815057219e-9	2.4717552697588706e-9
3.0	7.392879004544807e-6	-1.5001699592868258e-8	3.761890534849999e-8	0.0	5.556920795545491e-9	1.2311215968448262e-8	8.326259427075092e-9
4.0	9.841434108778634e-6	-3.544195561135217e-8	8.897047616836948e-8	0.0	1.3091228810772704e-8	2.909434473404129e-8	1.9685828371942394e-8
5.0	1.2277675722875111e-5	-6.894305230306013e-8	1.7329216440353004e-7	0.0	2.536848104145312e-8	5.6613104534259975e-8	3.832602576760519e-8
6.0	1.4699142120404449e-5	-1.1857030806254936e-7	2.984793180652654e-7	0.0	4.341785758148769e-8	9.739473367380522e-8	6.597408218558263e-8
7.0	1.7103453117455627e-5	-1.8727147780045486e-7	4.7221793619062313e-7	0.0	6.81670345386893e-8	1.538702700520533e-7	1.0429820365486732e-7
8.0	1.9488283666459836e-5	-2.778621433802784e-7	7.019545189771111e-7	0.0	1.0042400390929741e-7	2.2835990397984857e-7	1.5489703413728435e-7
9.0	2.1851341860893257e-5	-3.9301311426088225e-7	9.948680765918418e-7	0.0	1.4085973240295357e-7	3.2305933686604636e-7	2.1928920754647864e-7
10.0	2.419035025364035e-5	-5.352396740280287e-7	1.3578439769039608e-6	0.0	1.899917450347589e-7	4.4002707502198774e-7	2.9890295898173765e-7
11.0	2.6503030012397935e-5	-7.06892496478594e-7	1.7974493217906174e-6	0.0	2.481687025057911e-7	5.811725859987772e-7	3.950657747666994e-7
12.0	2.8787087728414628e-5	-9.10150065208103e-7	2.3199096178403084e-6	0.0	3.155560620169024e-7	7.482452726965916e-7	5.08994096145767e-7
13.0	3.104020472034891e-5	-1.1470123858113124e-6	2.931086367896313e-6	0.0	3.92122801163556e-7	9.428241480638483e-7	6.417830225840029e-7
14.0	3.326002910405042e-5	-1.4192959872711957e-6	3.6364557826882326e-6	0.0	4.776295575284843e-7	1.1663083741968401e-6	7.943962069805284e-7
15.0	3.5444170133504766e-5	-1.7286298542099127e-6	4.44108828640695e-6	0.0	5.716180204020549e-7	1.4199084994389055e-6	9.676559485141928e-7
16.0	3.759019514281165e-5	-2.0764522448157947e-6	5.3496280421216046e-6	0.0	6.734015247167478e-7	1.7046381917645225e-6	1.1622331482306107e-6
17.0	3.9695628989434124e-5	-2.464008490006681e-6	6.36627491046759e-6	0.0	7.820579203388891e-7	2.0213074046838883e-6	1.3786384533966285e-6
18.0	4.17579557590197e-5	-2.8923491449148263e-6	7.494764463300913e-6	0.0	8.964230644155592e-7	2.3705153354517407e-6	1.6172125129760581e-6
19.0	4.377462231778775e-5	-3.362328992694398e-6	8.738351910849221e-6	0.0	1.0150870267791856e-6	2.752645298197776e-6	1.8781182724860369e-6
20.0	4.5743044902048163e-5	-3.874606478902995e-6	1.0099794316873504e-5	0.0	1.1363918225768676e-6	3.167859759349834e-6	2.161332687394437e-6
21.0	4.766061642375428e-5	-4.429643516502253e-6	1.1581335682737027e-5	0.0	1.2584310587808205e-6	3.6160967273968532e-6	2.4666400427113963e-6
22.0	4.9524716465883714e-5	-5.02770579255066e-6	1.3184692373087789e-5	0.0	1.3790520175110535e-6	4.097067098036845e-6	2.793625816164478e-6
23.0	5.133272232041634e-5	-5.66886337656412e-6	1.491104037138554e-5	0.0	1.4958597528525125e-6	4.610253136225921e-6	3.1416717407446503e-6
24.0	5.3082021563338494e-5	-6.352991702457854e-6	1.676100414628586e-5	0.0	1.6062236269401194e-6	5.154908193192627e-6	3.5099520434817115e-6
25.0	5.4770025757906244e-5	-7.079772884339287e-6	1.8734647439296976e-5	0.0	1.7072862514959909e-6	5.730057711587449e-6	3.8974310095380145e-6
26.0	5.639418509193484e-5	-7.848697371963397e-6	2.0831466201423272e-5	0.0	1.7959749052446404e-6	6.33450159154861e-6	4.3028619885800334e-6
27.0	5.7952003755827365e-5	-8.659065959247537e-6	2.3050383895083262e-5	0.0	1.8690154848037151e-6	6.966817983130161e-6	4.724787948631824e-6
28.0	5.944105582437322e-5	-9.509992159981688e-6	2.5389749372643498e-5	0.0	1.9229489769084793e-6	7.625368545113262e-6	5.161543662469705e-6
29.0	6.0859001461500396e-5	-1.0400404978990078e-5	2.7847337527866035e-5	0.0	1.9541504742747953e-6	8.308305218860457e-6	5.611259607766274e-6
30.0	6.22036032353021e-5	-1.132905210805493e-5	3.0420352912825947e-5	0.0	1.9588507034370766e-6	9.013578546120113e-6	6.071867646905092e-6
