#t	#1	#2	#3	#4	#5	#6	#7
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.0	0.0002727038376035103	0.0	-6.953862972035226e-9	2.7898496636837376e-10	-4.230065043030435e-11	-1.4285690210328592e-9	8.932428826327586e-11
2.0	0.0010898170069331607	0.0	-6.942766426912786e-8	2.786080259786989e-9	-4.223183601829945e-10	-1.4263570760212583e-8	8.917904548286587e-10
3.0	0.0024484626971363432	0.0	-3.117358998860187e-7	1.251504038327136e-8	-1.8961904397635034e-9	-6.404940537589859e-8	4.0043363394486615e-9
4.0	0.004344042175859578	0.0	-9.393832970174778e-7	3.7736867985381574e-8	-5.713822408373644e-9	-1.9302682918914128e-7	1.2067977262583647e-8
5.0	0.006770308003219785	0.0	-2.2366522442321913e-6	8.99293719425877e-8	-1.3604192143508268e-8	-4.59657805914188e-7	2.8739648790433486e-8
6.0	0.00971943381298319	0.0	-4.563357835365851e-6	1.8368605212539248e-7	-2.7755634219314164e-8	-9.37987594011398e-7	5.865563876880841e-8
7.0	0.013182085242661127	0.0	-8.350838875580292e-6	3.3660694505689465e-7	-5.079150771537972e-8	-1.7168572900536105e-6	1.0738776243773021e-7
8.0	0.017147493462224408	0.0	-1.4097257610093753e-5	5.691737556472613e-7	-8.57416671647092e-8	-2.898980679761988e-6	1.8139334841778712e-7
9.0	0.021603531602440558	0.0	-2.2362284864089986e-5	9.046113844678415e-7	-1.360101736262951e-7	-4.599899862643798e-6	2.8796004065996025e-7
10.0	0.026536793920160992	0.0	-3.376125049998072e-5	1.3687377786122968e-6	-2.0533969835979808e-7	-6.94683463687575e-6	4.3514636400306755e-7
11.0	0.03193267733727447	0.0	-4.895884135306182e-5	1.9898038638656085e-6	-2.977730831743283e-7	-1.0077440997565668e-5	6.317189416140939e-7
12.0	0.03777546490574946	0.0	-6.866242972514184e-5	2.798325144708957e-6	-4.176125268834424e-7	-1.413849424099324e-5	8.870871863179935e-7
13.0	0.044048410727845176	0.0	-9.361511443010319e-5	3.826906370218665e-6	-5.693768613667547e-7	-1.928451192901973e-5	1.2112362132933886e-6
14.0	0.05073382584313155	0.0	-0.00012458855846815512	5.11006055675992e-6	-7.577573956158122e-7	-2.5676332379583366e-5	1.6146586735737794e-6
