# (1)t	# (2) P[5<--1](t)	# (3) P[5<--2](t)	# (4) P[5<--3](t)	# (5) P[5<--4](t)	# (6) P[5<--5](t)	# (7) P[5<--6](t)	# (8) P[5<--7](t)
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.0	1.592238354e-6	4.230065043e-11	-2.962179879e-11	-1.036478708e-10	0.0	1.515744609e-9	-6.803266681e-12
2.0	6.366786294e-6	4.223183602e-10	-2.960715121e-10	-1.034208292e-9	0.0	1.513490305e-8	-6.788388586e-11
3.0	1.431781132e-5	1.89619044e-9	-1.331528176e-9	-4.63958124e-9	0.0	6.79681283e-8	-3.045469722e-10
4.0	2.543664566e-5	5.713822408e-9	-4.021278032e-9	-1.396365604e-8	0.0	2.048618054e-7	-9.166704785e-10
5.0	3.97120479e-5	1.360419214e-8	-9.601630319e-9	-3.319351097e-8	0.0	4.879169176e-7	-2.179390504e-9
6.0	5.71303657e-5	2.775563422e-8	-1.965734162e-8	-6.758668028e-8	0.0	9.958436884e-7	-4.438614302e-9
7.0	7.767563219e-5	5.079150772e-8	-3.611856177e-8	-1.233791263e-7	0.0	1.823165305e-6	-8.105447027e-9
8.0	0.0001013296103	8.574166716e-8	-6.125725691e-8	-2.076746456e-7	0.0	3.079284552e-6	-1.36496278e-8
9.0	0.0001280717936	1.360101736e-7	-9.768301898e-8	-3.283165137e-7	0.0	4.887427716e-6	-2.15920793e-8
10.0	0.000157879369	2.053396984e-7	-1.483381333e-7	-4.937422524e-7	0.0	7.383480596e-6	-3.249668269e-8
11.0	0.0001907271467	2.977730832e-7	-2.164917461e-7	-7.128224762e-7	0.0	1.071473173e-5	-4.696139548e-8
12.0	0.0002265874619	4.176125269e-7	-3.057329521e-7	-9.946848585e-7	0.0	1.50385381e-5	-6.560883427e-8
13.0	0.0002654300527	5.693768614e-7	-4.199626063e-7	-1.34852429e-6	0.0	2.052092828e-5	-8.907644502e-8
14.0	0.0003072219185	7.577573956e-7	-5.633836544e-7	-1.783400469e-6	0.0	2.733515835e-5	-1.180063891e-7
