# (1)t	# (2) P[1<--1](t)	# (3) P[1<--2](t)
0.0	0.0	0.0
4.0	0.0	-0.01735855289
8.0	0.0	-0.06577828834
12.0	0.0	-0.1363580282
16.0	0.0	-0.218955175
20.0	0.0	-0.3045968405
24.0	0.0	-0.3860970604
28.0	0.0	-0.4582189756
32.0	0.0	-0.5176271351
36.0	0.0	-0.5627071688
40.0	0.0	-0.5933043336
44.0	0.0	-0.610409776
48.0	0.0	-0.6158290553
52.0	0.0	-0.6118631494
56.0	0.0	-0.601022291
60.0	0.0	-0.5857869855
64.0	0.0	-0.5684243265
68.0	0.0	-0.55086199
72.0	0.0	-0.534615767
76.0	0.0	-0.5207643506
80.0	0.0	-0.5099618525
84.0	0.0	-0.5024844641
88.0	0.0	-0.4982933999
92.0	0.0	-0.4971016055
96.0	0.0	-0.498457971
100.0	0.0	-0.5018148047
104.0	0.0	-0.5065928479
108.0	0.0	-0.5122321974
112.0	0.0	-0.5182269915
116.0	0.0	-0.524159815
120.0	0.0	-0.529710687
124.0	0.0	-0.5346596597
128.0	0.0	-0.5388811929
132.0	0.0	-0.5423334899
136.0	0.0	-0.5450413132
140.0	0.0	-0.5470794723
144.0	0.0	-0.5485579703
148.0	0.0	-0.5496042945
152.0	0.0	-0.5503498652
156.0	0.0	-0.550919734
160.0	0.0	-0.5514239916
164.0	0.0	-0.5519527582
168.0	0.0	-0.5525738251
172.0	0.0	-0.5533323684
176.0	0.0	-0.5542525801
180.0	0.0	-0.5553405002
184.0	0.0	-0.5565875496
188.0	0.0	-0.5579744462
192.0	0.0	-0.5594753225
196.0	0.0	-0.5610607946
200.0	0.0	-0.5627009708
204.0	0.0	-0.5643683798
208.0	0.0	-0.5660394036
212.0	0.0	-0.567694951
216.0	0.0	-0.5693208657
220.0	0.0	-0.5709079023
224.0	0.0	-0.5724513467
228.0	0.0	-0.5739503841
232.0	0.0	-0.5754073162
236.0	0.0	-0.5768267172
240.0	0.0	-0.5782146054
244.0	0.0	-0.5795776877
248.0	0.0	-0.5809227157
252.0	0.0	-0.5822559791
256.0	0.0	-0.5835829414
260.0	0.0	-0.5849080168
264.0	0.0	-0.5862344712
268.0	0.0	-0.5875644309
272.0	0.0	-0.5888989724
276.0	0.0	-0.590238271
280.0	0.0	-0.5915817837
284.0	0.0	-0.5929284455
288.0	0.0	-0.5942768621
292.0	0.0	-0.5956254853
296.0	0.0	-0.5969727618
300.0	0.0	-0.5983172502
304.0	0.0	-0.5996577046
308.0	0.0	-0.6009931257
312.0	0.0	-0.6023227827
316.0	0.0	-0.6036462101
320.0	0.0	-0.6049631862
324.0	0.0	-0.606273698
328.0	0.0	-0.6075778979
332.0	0.0	-0.6088760578
336.0	0.0	-0.6101685241
340.0	0.0	-0.6114556772
344.0	0.0	-0.6127378968
348.0	0.0	-0.6140155347
352.0	0.0	-0.6152888964
356.0	0.0	-0.6165582289
360.0	0.0	-0.6178237161
364.0	0.0	-0.61908548
368.0	0.0	-0.6203435861
372.0	0.0	-0.6215980514
376.0	0.0	-0.6228488551
380.0	0.0	-0.6240959487
384.0	0.0	-0.6253392674
388.0	0.0	-0.6265787387
392.0	0.0	-0.6278142909
396.0	0.0	-0.629045859
400.0	0.0	-0.6302733891
404.0	0.0	-0.6314968414
408.0	0.0	-0.6327161903
412.0	0.0	-0.6339314251
416.0	0.0	-0.6351425477
420.0	0.0	-0.6363495715
424.0	0.0	-0.6375525182
428.0	0.0	-0.638751416
432.0	0.0	-0.6399462963
436.0	0.0	-0.6411371924
440.0	0.0	-0.642324137
444.0	0.0	-0.6435071613
448.0	0.0	-0.6446862935
452.0	0.0	-0.6458615585
456.0	0.0	-0.647032978
460.0	0.0	-0.64820057
464.0	0.0	-0.6493643495
468.0	0.0	-0.6505243289
472.0	0.0	-0.6516805186
476.0	0.0	-0.6528329275
480.0	0.0	-0.6539815638
484.0	0.0	-0.6551264351
488.0	0.0	-0.6562675493
492.0	0.0	-0.6574049145
496.0	0.0	-0.6585385396
500.0	0.0	-0.6596684339
504.0	0.0	-0.6607946079
508.0	0.0	-0.6619170724
512.0	0.0	-0.6630358393
516.0	0.0	-0.6641509208
520.0	0.0	-0.6652623294
524.0	0.0	-0.6663700782
528.0	0.0	-0.6674741801
532.0	0.0	-0.6685746484
536.0	0.0	-0.6696714959
540.0	0.0	-0.6707647356
544.0	0.0	-0.6718543801
548.0	0.0	-0.672940442
552.0	0.0	-0.6740229333
556.0	0.0	-0.6751018663
560.0	0.0	-0.6761772526
564.0	0.0	-0.6772491039
568.0	0.0	-0.6783174317
572.0	0.0	-0.6793822473
576.0	0.0	-0.6804435621
580.0	0.0	-0.6815013874
584.0	0.0	-0.6825557344
588.0	0.0	-0.6836066142
592.0	0.0	-0.6846540381
596.0	0.0	-0.6856980173
600.0	0.0	-0.6867385631
604.0	0.0	-0.6877756866
608.0	0.0	-0.6888093991
612.0	0.0	-0.6898397119
616.0	0.0	-0.6908666361
620.0	0.0	-0.691890183
624.0	0.0	-0.6929103636
628.0	0.0	-0.6939271892
632.0	0.0	-0.6949406708
636.0	0.0	-0.6959508194
640.0	0.0	-0.6969576461
644.0	0.0	-0.6979611619
648.0	0.0	-0.6989613776
652.0	0.0	-0.6999583041
656.0	0.0	-0.7009519522
660.0	0.0	-0.7019423328
664.0	0.0	-0.7029294564
668.0	0.0	-0.703913334
672.0	0.0	-0.704893976
676.0	0.0	-0.7058713931
680.0	0.0	-0.706845596
684.0	0.0	-0.7078165952
688.0	0.0	-0.7087844011
692.0	0.0	-0.7097490244
696.0	0.0	-0.7107104754
700.0	0.0	-0.7116687646
704.0	0.0	-0.7126239024
708.0	0.0	-0.7135758992
712.0	0.0	-0.7145247652
716.0	0.0	-0.7154705108
720.0	0.0	-0.7164131463
724.0	0.0	-0.7173526818
728.0	0.0	-0.7182891276
732.0	0.0	-0.7192224938
736.0	0.0	-0.7201527907
740.0	0.0	-0.7210800281
744.0	0.0	-0.7220042163
748.0	0.0	-0.7229253653
752.0	0.0	-0.723843485
756.0	0.0	-0.7247585854
760.0	0.0	-0.7256706765
764.0	0.0	-0.726579768
768.0	0.0	-0.72748587
772.0	0.0	-0.7283889922
776.0	0.0	-0.7292891445
780.0	0.0	-0.7301863365
784.0	0.0	-0.7310805781
788.0	0.0	-0.7319718789
792.0	0.0	-0.7328602486
796.0	0.0	-0.7337456968
800.0	0.0	-0.7346282332
804.0	0.0	-0.7355078673
808.0	0.0	-0.7363846087
812.0	0.0	-0.7372584668
816.0	0.0	-0.7381294512
820.0	0.0	-0.7389975713
824.0	0.0	-0.7398628366
828.0	0.0	-0.7407252564
832.0	0.0	-0.74158484
836.0	0.0	-0.7424415969
840.0	0.0	-0.7432955363
844.0	0.0	-0.7441466674
848.0	0.0	-0.7449949995
852.0	0.0	-0.7458405419
856.0	0.0	-0.7466833036
860.0	0.0	-0.7475232938
864.0	0.0	-0.7483605217
868.0	0.0	-0.7491949963
872.0	0.0	-0.7500267267
876.0	0.0	-0.7508557219
880.0	0.0	-0.7516819909
884.0	0.0	-0.7525055427
888.0	0.0	-0.7533263861
892.0	0.0	-0.7541445302
896.0	0.0	-0.7549599837
900.0	0.0	-0.7557727556
904.0	0.0	-0.7565828546
908.0	0.0	-0.7573902895
912.0	0.0	-0.7581950692
916.0	0.0	-0.7589972023
920.0	0.0	-0.7597966975
924.0	0.0	-0.7605935635
928.0	0.0	-0.761387809
932.0	0.0	-0.7621794426
936.0	0.0	-0.7629684728
940.0	0.0	-0.7637549082
944.0	0.0	-0.7645387575
948.0	0.0	-0.7653200289
952.0	0.0	-0.7660987311
956.0	0.0	-0.7668748725
960.0	0.0	-0.7676484615
964.0	0.0	-0.7684195066
968.0	0.0	-0.7691880159
972.0	0.0	-0.769953998
976.0	0.0	-0.7707174611
980.0	0.0	-0.7714784136
984.0	0.0	-0.7722368635
988.0	0.0	-0.7729928193
992.0	0.0	-0.7737462891
996.0	0.0	-0.774497281
1000.0	0.0	-0.7752458032
