# (1)t	# (2) P[2<--1](t)	# (3) P[2<--2](t)
0.0	0.0	0.0
4.0	1.71585776e-18	0.0
8.0	1.1835916789999999e-17	0.0
12.0	2.3041518489999998e-17	0.0
16.0	1.4637317219999998e-17	0.0
20.0	-4.139069126e-17	2.689344407e-17
24.0	-8.06102972e-17	8.964481357e-17
28.0	-2.937989705e-14	-3.675437356e-16
32.0	-6.237591181000001e-14	-2.061830712e-15
36.0	-6.450721725e-14	-4.787033044e-15
40.0	-1.053314653e-13	-7.297087824e-15
44.0	-1.968364088e-13	-8.767262767e-15
48.0	-2.824292768e-13	-9.323060611e-15
52.0	-3.291543947e-13	-9.305131648e-15
56.0	-3.651490285e-13	-7.691525004e-15
60.0	-4.060248224e-13	-4.034016611e-15
64.0	-4.207803587e-13	-1.004021912e-15
68.0	-4.034901153e-13	1.9721858979999998e-16
72.0	-3.832527986e-13	4.930464745999999e-16
76.0	-3.8169522e-13	1.12056017e-15
80.0	-3.806553401e-13	3.3168581020000002e-15
84.0	-3.71061104e-13	6.1585986920000004e-15
88.0	-3.65140064e-13	9.726462272e-15
92.0	-4.222684626e-13	1.390391058e-14
96.0	-5.252165665e-13	1.802757201e-14
100.0	-5.641560324e-13	2.257256406e-14
104.0	-4.985920569e-13	2.5360517760000003e-14
108.0	-3.387351842e-13	2.54860205e-14
112.0	-1.414157439e-13	2.2859427460000002e-14
116.0	1.8961068660000002e-14	1.8197897150000002e-14
120.0	1.275097323e-13	1.349154444e-14
124.0	1.694410938e-13	9.170664428e-15
128.0	1.090025605e-13	5.853806326e-15
132.0	-2.816520983e-14	4.383631383e-15
136.0	-1.839387612e-13	4.589814455e-15
140.0	-3.225430897e-13	5.584871885e-15
144.0	-4.191443408e-13	6.705432055e-15
148.0	-4.627117202e-13	7.13572716e-15
152.0	-4.648049266e-13	6.113776285e-15
156.0	-4.228847707e-13	4.338808977e-15
160.0	-3.241342852e-13	2.205262414e-15
164.0	-2.02221821e-13	-7.709453967e-16
168.0	-7.530941728e-14	-4.7153171940000005e-15
172.0	2.7874004250000002e-14	-1.092770277e-14
176.0	3.86112118e-14	-1.886126877e-14
180.0	-3.593517404e-14	-2.7520957770000002e-14
184.0	-1.700057161e-13	-3.682608941e-14
188.0	-3.479977346e-13	-4.6301546210000006e-14
192.0	-5.277086923e-13	-5.549910408000001e-14
196.0	-6.973480553e-13	-6.468769747e-14
200.0	-8.678614552e-13	-7.423487012e-14
204.0	-1.043773714e-12	-8.36206821e-14
208.0	-1.22318212e-12	-9.280031100000001e-14
212.0	-1.403704364e-12	-1.017647924e-13
216.0	-1.583209138e-12	-1.105141262e-13
220.0	-1.760051462e-12	-1.190572769e-13
224.0	-1.933169044e-12	-1.274121735e-13
228.0	-2.102062114e-12	-1.35614674e-13
232.0	-2.266735154e-12	-1.437006361e-13
236.0	-2.427593808e-12	-1.516969535e-13
240.0	-2.585335063e-12	-1.59639484e-13
244.0	-2.740832956e-12	-1.675461566e-13
248.0	-2.895019794e-12	-1.754259357e-13
252.0	-3.048769614e-12	-1.832877858e-13
256.0	-3.202792851e-12	-1.91131707e-13
260.0	-3.357647543e-12	-1.989487348e-13
264.0	-3.513707958e-12	-2.067299046e-13
268.0	-3.671128732e-12	-2.14466252e-13
272.0	-3.829905385e-12	-2.22139848e-13
276.0	-3.989878796e-12	-2.297417282e-13
280.0	-4.15075762e-12	-2.372629281e-13
284.0	-4.312198964e-12	-2.446944831e-13
288.0	-4.473830804e-12	-2.520274289e-13
292.0	-4.63527439e-12	-2.592528008e-13
296.0	-4.796202518e-12	-2.663795635e-13
300.0	-4.956335049e-12	-2.734077169e-13
304.0	-5.115452352e-12	-2.80337261e-13
308.0	-5.273433407e-12	-2.871771603e-13
312.0	-5.430244597e-12	-2.939274147e-13
316.0	-5.585899369e-12	-3.005880244e-13
320.0	-5.740455992e-12	-3.071679537e-13
324.0	-5.894026522e-12	-3.136761672e-13
328.0	-6.046727498e-12	-3.201126648e-13
332.0	-6.198679939e-12	-3.26486411e-13
336.0	-6.350025036e-12	-3.327974059e-13
340.0	-6.500892775e-12	-3.390366849e-13
344.0	-6.651375042e-12	-3.452132126e-13
348.0	-6.801556998e-12	-3.513269889e-13
352.0	-6.951492431e-12	-3.573780138e-13
356.0	-7.101201511e-12	-3.633662873e-13
360.0	-7.250697684e-12	-3.69282845e-13
364.0	-7.399954057e-12	-3.751276869e-13
368.0	-7.548941496e-12	-3.809008128e-13
372.0	-7.697624143e-12	-3.86602223e-13
376.0	-7.845952693e-12	-3.922319173e-13
380.0	-7.993877841e-12	-3.977898957e-13
384.0	-8.141357006e-12	-4.032761583e-13
388.0	-8.288363294e-12	-4.086907051e-13
392.0	-8.434872054e-12	-4.140335359e-13
396.0	-8.580858633e-12	-4.193136155e-13
400.0	-8.726325272e-12	-4.245309436e-13
404.0	-8.871278695e-12	-4.296765559e-13
408.0	-9.0157189e-12	-4.347504524e-13
412.0	-9.159648131e-12	-4.397615974e-13
416.0	-9.303070868e-12	-4.447099911e-13
420.0	-9.446007282e-12	-4.49586669e-13
424.0	-9.588475302e-12	-4.544005955e-13
428.0	-9.730492857e-12	-4.591517706e-13
432.0	-9.872077876e-12	-4.638401944e-13
436.0	-1.001323708e-11	-4.684658667e-13
440.0	-1.015397047e-11	-4.730287878e-13
444.0	-1.029426909e-11	-4.775289574e-13
448.0	-1.04341262e-11	-4.819663757e-13
452.0	-1.057356871e-11	-4.863410426e-13
456.0	-1.071261454e-11	-4.906529581e-13
