# (1)t	# (2) P[1<--1](t)	# (3) P[1<--2](t)	# (4) P[1<--3](t)	# (5) P[1<--4](t)
0.0	0.0	0.0	0.0	0.0
4.0	0.0	1.1369320059999999e-35	1.598068827e-21	0.0
8.0	0.0	-3.366996177e-22	1.801356734e-20	0.0
12.0	0.0	-2.676377324e-22	2.6325784000000002e-20	0.0
16.0	0.0	1.234368767e-21	2.207616803e-21	0.0
20.0	0.0	-2.1568969470000001e-19	-1.41090855e-19	0.0
24.0	0.0	-7.701171743e-19	-6.103910893e-19	0.0
28.0	0.0	-8.526503767e-19	-7.368188731e-19	0.0
32.0	0.0	7.262099519e-19	-7.115049974000001e-19	0.0
36.0	0.0	4.13608071e-18	-1.284729758e-18	0.0
40.0	0.0	8.581468568e-18	-1.48198292e-18	0.0
44.0	0.0	1.198440489e-17	-7.782638836e-19	0.0
48.0	0.0	1.428676498e-17	-3.9865630500000003e-19	0.0
52.0	0.0	1.636278042e-17	-1.148944186e-18	0.0
56.0	0.0	1.759115204e-17	-1.983956899e-18	0.0
60.0	0.0	1.836357717e-17	-1.802019317e-18	0.0
64.0	0.0	1.8896155299999998e-17	-1.738834398e-18	0.0
68.0	0.0	1.893622386e-17	-2.237789567e-18	0.0
72.0	0.0	1.911724945e-17	-3.550594109e-18	0.0
76.0	0.0	1.933005163e-17	-5.985058369e-18	0.0
80.0	0.0	2.0375628479999998e-17	-8.478755756e-18	0.0
84.0	0.0	2.3883149799999998e-17	-1.0673797459999999e-17	0.0
88.0	0.0	2.97876962e-17	-1.225042018e-17	0.0
92.0	0.0	3.8021451539999995e-17	-1.296751993e-17	0.0
96.0	0.0	4.851508144e-17	-1.266698911e-17	0.0
100.0	0.0	6.119888663999999e-17	-1.124962827e-17	0.0
104.0	0.0	7.600361795e-17	-8.648338637e-18	0.0
108.0	0.0	9.286107857e-17	-4.828974187e-18	0.0
112.0	0.0	1.1170486509999998e-16	1.603315179e-19	0.0
116.0	0.0	1.3247145419999998e-16	6.210509608e-18	0.0
120.0	0.0	1.5510087099999998e-16	1.319357723e-17	0.0
124.0	0.0	1.795367687e-16	2.0968587659999998e-17	0.0
128.0	0.0	2.057262481e-16	2.942407286e-17	0.0
132.0	0.0	2.336194167e-16	3.8498849359999996e-17	0.0
136.0	0.0	2.6316892889999997e-16	4.811897098e-17	0.0
140.0	0.0	2.9433018719999995e-16	5.81755901e-17	0.0
144.0	0.0	3.2706129239999995e-16	6.859650091e-17	0.0
148.0	0.0	3.6132262849999996e-16	7.93200037e-17	0.0
152.0	0.0	3.9707647889999996e-16	9.030492896999999e-17	0.0
156.0	0.0	4.3428649859999996e-16	1.015397225e-16	0.0
160.0	0.0	4.729175049e-16	1.130287539e-16	0.0
164.0	0.0	5.12935164e-16	1.247992239e-16	0.0
168.0	0.0	5.543055878e-16	1.368887396e-16	0.0
172.0	0.0	5.969958051999999e-16	1.492441561e-16	0.0
