#t	#1	#2	#3	#4
0.0	0.0	0.0	0.0	0.0
4.0	-1.1369320064171308e-35	0.0	1.827572867931749e-21	1.0164395367051606e-21
8.0	3.366996176921285e-22	0.0	-4.4610093795804845e-19	-1.0254745548092062e-20
12.0	2.676377323807086e-22	0.0	1.5904532550358972e-19	-1.2423149893063071e-20
16.0	-1.23436876682466e-21	0.0	2.702191647899335e-18	-2.1096123944908227e-20
20.0	2.1568969470974115e-19	0.0	2.299490336951988e-18	-1.2426281105192467e-18
24.0	7.701171743082798e-19	0.0	-3.023170468612947e-18	-3.99504852926311e-18
28.0	8.526503767205042e-19	0.0	-1.6925052672217133e-18	-7.525199176929803e-18
32.0	-7.262099518683807e-19	0.0	2.1909293304822787e-17	-1.2203173549402323e-17
36.0	-4.136080710003093e-18	0.0	5.741704367878884e-17	-1.7444965747668998e-17
40.0	-8.581468568465658e-18	0.0	9.01934286393729e-17	-2.27879777309534e-17
44.0	-1.1984404891221842e-17	0.0	1.291328945327164e-16	-2.8128117843703825e-17
48.0	-1.4286764980528596e-17	0.0	1.7381523129522202e-16	-3.313286555229651e-17
52.0	-1.6362780423178172e-17	0.0	2.1639651773974147e-16	-3.731068263337241e-17
56.0	-1.7591152041274637e-17	0.0	2.5617640376027946e-16	-4.0568946306501494e-17
59.99999999999999	-1.8363577173412837e-17	0.0	2.8699180842407637e-16	-4.3858598661991225e-17
64.0	-1.88961552967666e-17	0.0	2.931548893568358e-16	-4.698849542555125e-17
68.0	-1.893622386416971e-17	0.0	2.813890075761133e-16	-4.955070384734361e-17
72.0	-1.911724945248454e-17	0.0	2.799883073641225e-16	-5.109406595036756e-17
76.0	-1.9330051626700115e-17	0.0	2.8587124825448375e-16	-5.288496449827018e-17
80.0	-2.037562847856461e-17	0.0	2.7354508638896497e-16	-5.4628671364201155e-17
84.0	-2.3883149802899336e-17	0.0	2.332049202836307e-16	-5.418435013013246e-17
88.0	-2.978769620365188e-17	0.0	1.6933299061685145e-16	-5.160447485113933e-17
92.0	-3.802145153736682e-17	0.0	8.809237832138681e-17	-4.6937419021575875e-17
96.0	-4.851508144288656e-17	0.0	-5.474395839596855e-18	-4.022888746016744e-17
