# (1)t	# (2) P[4<--1](t)	# (3) P[4<--2](t)	# (4) P[4<--3](t)	# (5) P[4<--4](t)
0.0	0.0	0.0	0.0	0.0
4.0	0.0	-1.818061248e-9	5.447401089e-7	0.0
8.0	0.0	-3.077067158e-8	5.140140341e-6	0.0
12.0	0.0	-1.882837532e-7	2.197229031e-5	0.0
16.0	0.0	-7.070653955e-7	6.27088153e-5	0.0
20.0	0.0	-1.982791683e-6	0.0001405668698	0.0
24.0	0.0	-4.581966756e-6	0.0002687294796	0.0
28.0	0.0	-9.2311888e-6	0.0004591511593	0.0
32.0	0.0	-1.679325524e-5	0.0007217537239	0.0
36.0	0.0	-2.823526586e-5	0.001063979592	0.0
40.0	0.0	-4.459325729e-5	0.001490651159	0.0
44.0	0.0	-6.693706467e-5	0.002004073001	0.0
48.0	0.0	-9.633820146e-5	0.002604310817	0.0
52.0	0.0	-0.0001338426108	0.003289582707	0.0
56.0	0.0	-0.0001804493656	0.004056705801	0.0
60.0	0.0	-0.00023709567	0.004901550411	0.0
64.0	0.0	-0.0003046479197	0.005819464263	0.0
68.0	0.0	-0.0003838981574	0.006805640302	0.0
72.0	0.0	-0.0004755649684	0.007855411941	0.0
76.0	0.0	-0.0005802977808	0.008964470897	0.0
80.0	0.0	-0.0006986836234	0.01012901039	0.0
84.0	0.0	-0.0008312549799	0.01134579553	0.0
88.0	0.0	-0.0009784980883	0.01261217498	0.0
92.0	0.0	-0.001140861235	0.01392605016	0.0
96.0	0.0	-0.001318762182	0.0152858104	0.0
100.0	0.0	-0.001512594495	0.01669024746	0.0
104.0	0.0	-0.00172273259	0.01813846098	0.0
108.0	0.0	-0.001949535457	0.01962976425	0.0
112.0	0.0	-0.002193349121	0.02116359763	0.0
116.0	0.0	-0.00245450802	0.02273945469	0.0
120.0	0.0	-0.002733335464	0.0243568236	0.0
124.0	0.0	-0.003030143435	0.02601514507	0.0
128.0	0.0	-0.00334523192	0.02771378597	0.0
132.0	0.0	-0.003678888006	0.02945202714	0.0
136.0	0.0	-0.004031384899	0.03122906287	0.0
140.0	0.0	-0.00440298101	0.03304400941	0.0
144.0	0.0	-0.004793919206	0.03489591957	0.0
148.0	0.0	-0.005204426293	0.03678380091	0.0
152.0	0.0	-0.005634712751	0.03870663502	0.0
156.0	0.0	-0.006084972729	0.04066339624	0.0
160.0	0.0	-0.006555384273	0.04265306835	0.0
164.0	0.0	-0.007046109758	0.0446746583	0.0
168.0	0.0	-0.007557296467	0.04672720666	0.0
172.0	0.0	-0.00808907729	0.04880979454	0.0
176.0	0.0	-0.008641571472	0.05092154737	0.0
180.0	0.0	-0.009214885394	0.05306163581	0.0
184.0	0.0	-0.009809113332	0.05522927441	0.0
188.0	0.0	-0.01042433818	0.05742371862	0.0
192.0	0.0	-0.01106063211	0.05964426067	0.0
196.0	0.0	-0.0117180572	0.06189022496	0.0
200.0	0.0	-0.01239666593	0.0641609633	0.0
204.0	0.0	-0.01309650164	0.06645585048	0.0
208.0	0.0	-0.01381759897	0.0687742803	0.0
212.0	0.0	-0.01455998416	0.07111566234	0.0
216.0	0.0	-0.01532367539	0.07347941943	0.0
220.0	0.0	-0.01610868303	0.07586498583	0.0
224.0	0.0	-0.01691500988	0.07827180619	0.0
228.0	0.0	-0.01774265142	0.08069933493	0.0
232.0	0.0	-0.01859159603	0.08314703622	0.0
236.0	0.0	-0.01946182523	0.08561438416	0.0
240.0	0.0	-0.02035331385	0.08810086328	0.0
244.0	0.0	-0.02126603034	0.090605969	0.0
248.0	0.0	-0.02219993694	0.09312920824	0.0
252.0	0.0	-0.02315498995	0.09567009982	0.0
256.0	0.0	-0.02413113994	0.09822817485	0.0
260.0	0.0	-0.02512833203	0.100802977	0.0
264.0	0.0	-0.02614650608	0.1033940623	0.0
268.0	0.0	-0.02718559698	0.1060009996	0.0
272.0	0.0	-0.02824553484	0.1086233698	0.0
276.0	0.0	-0.02932624521	0.1112607659	0.0
280.0	0.0	-0.03042764934	0.1139127925	0.0
284.0	0.0	-0.03154966434	0.1165790654	0.0
288.0	0.0	-0.03269220341	0.1192592112	0.0
292.0	0.0	-0.03385517603	0.1219528666	0.0
296.0	0.0	-0.03503848811	0.1246596783	0.0
300.0	0.0	-0.03624204222	0.1273793024	0.0
304.0	0.0	-0.03746573771	0.1301114041	0.0
308.0	0.0	-0.03870947088	0.1328556572	0.0
312.0	0.0	-0.03997313516	0.135611744	0.0
316.0	0.0	-0.04125662122	0.1383793549	0.0
320.0	0.0	-0.04255981713	0.1411581881	0.0
324.0	0.0	-0.04388260851	0.1439479498	0.0
328.0	0.0	-0.04522487865	0.1467483534	0.0
332.0	0.0	-0.04658650864	0.1495591198	0.0
336.0	0.0	-0.04796737749	0.1523799771	0.0
340.0	0.0	-0.04936736225	0.1552106605	0.0
344.0	0.0	-0.05078633817	0.1580509118	0.0
348.0	0.0	-0.05222417875	0.16090048	0.0
352.0	0.0	-0.05368075588	0.1637591202	0.0
356.0	0.0	-0.05515593997	0.1666265944	0.0
360.0	0.0	-0.05664960003	0.1695026706	0.0
364.0	0.0	-0.05816160375	0.172387123	0.0
368.0	0.0	-0.05969181765	0.1752797317	0.0
372.0	0.0	-0.06124010714	0.1781802828	0.0
376.0	0.0	-0.0628063366	0.1810885678	0.0
380.0	0.0	-0.0643903695	0.1840043839	0.0
384.0	0.0	-0.06599206846	0.1869275336	0.0
388.0	0.0	-0.06761129534	0.1898578245	0.0
392.0	0.0	-0.0692479113	0.1927950694	0.0
396.0	0.0	-0.07090177693	0.1957390859	0.0
400.0	0.0	-0.07257275225	0.1986896964	0.0
404.0	0.0	-0.07426069681	0.201646728	0.0
408.0	0.0	-0.0759654698	0.2046100123	0.0
412.0	0.0	-0.07768693002	0.2075793853	0.0
416.0	0.0	-0.07942493604	0.2105546874	0.0
420.0	0.0	-0.0811793462	0.213535763	0.0
424.0	0.0	-0.08295001868	0.2165224606	0.0
428.0	0.0	-0.08473681157	0.2195146328	0.0
432.0	0.0	-0.08653958289	0.2225121359	0.0
436.0	0.0	-0.08835819069	0.2255148302	0.0
440.0	0.0	-0.09019249306	0.2285225794	0.0
444.0	0.0	-0.0920423482	0.2315352509	0.0
448.0	0.0	-0.09390761443	0.2345527156	0.0
452.0	0.0	-0.09578815028	0.2375748477	0.0
456.0	0.0	-0.09768381451	0.2406015248	0.0
460.0	0.0	-0.09959446614	0.2436326277	0.0
464.0	0.0	-0.1015199645	0.2466680403	0.0
468.0	0.0	-0.1034601693	0.2497076495	0.0
